,year,round,pick,player,position,school
347,1987,1,21,"Comegys, Dallas",C,DePaul
348,1987,1,22,"Lewis, Reggie",SG,Northeastern
349,1987,1,23,"Anderson, Greg ""Cadillac""",PF,Houston
350,1987,2,24,"Banks, Freddie",SG,UNLV
351,1987,2,25,"Moore, Ron",C,West Virginia State
352,1987,2,26,"Alford, Steve",SG,Indiana
353,1987,2,27,"Blackwell, Nate",PG,Temple
354,1987,2,28,"Winslow, Rickie",SF,Houston
355,1987,2,29,"Fonville, Lester",C,Jackson State
356,1987,2,30,"Wilson, Nikita",SF,LSU
357,1987,2,31,"Moore, Andre",PF,Loyola (IL)
358,1987,2,32,"McCann, Bob",SF,Morehead State
359,1987,2,33,"White, Tony",PG,Tennessee
360,1987,2,34,"Rowsom, Brian",PF,UNC Wilmington
361,1987,2,35,"Lee, Doug",SG,Purdue
362,1987,2,36,"Washington, Duane",SG,Middle Tennessee
363,1987,2,37,"Dowell, Derrick",SF,USC
364,1987,2,38,"Coleman, Norris",SF,Kansas State
365,1987,2,39,"Askew, Vincent",SG/SF,Memphis State
366,1987,2,40,"Garland, Winston",PG,Southwest Missouri State
367,1987,2,41,"Johnson, Kannard",SF,WKU
368,1987,2,42,"Bailey, Terrance",SG,Wagner
369,1987,2,43,"Kennedy, Andrew",F,Virginia
370,1987,2,44,"Coner, Terry",PG,Alabama
371,1987,2,45,"Lohaus, Brad",PF/C,Iowa
372,1987,2,46,"Dalrymple, Bruce",G,Georgia Tech
373,1988,1,1,"Manning, Danny",PF,Kansas
374,1988,1,2,"Smits, Rik",C,Marist
375,1988,1,3,"Smith, Charles",PF,Pittsburgh
376,1988,1,4,"Morris, Chris",SF,Auburn
377,1988,1,5,"Richmond, Mitch",SG,Kansas State
378,1988,1,6,"Hawkins, Hersey",SG,Bradley
379,1988,1,7,"Perry, Tim",F,Temple
380,1988,1,8,"Chapman, Rex",SG,Kentucky
381,1988,1,9,"Seikaly, Rony",C,Syracuse
382,1988,1,10,"Anderson, Willie",SG,Georgia
383,1988,1,11,"Perdue, Will",C,Vanderbilt
384,1988,1,12,"Grant, Harvey",SF,Oklahoma
385,1988,1,13,"Grayer, Jeff",PG,Iowa State
386,1988,1,14,"Majerle, Dan",SF,Central Michigan
387,1988,1,15,"Grant, Gary",PG,Michigan
388,1988,1,16,"Chievous, Derrick",SG,Missouri
389,1988,1,17,"Leckner, Eric",C,Wyoming
390,1988,1,18,"Berry, Ricky",SG,San Jose State
391,1988,1,19,"Strickland, Rod",PG,DePaul
392,1988,1,20,"Edwards, Kevin",SG,DePaul
393,1988,1,21,"Bryant, Mark",PF,Seton Hall
394,1988,1,22,"Keys, Randolph",SF,Southern Miss
395,1988,1,23,"Lane, Jerome",PF,Pittsburgh
396,1988,1,24,"Shaw, Brian",SG,UC Santa Barbara
397,1988,1,25,"Rivers, David",PG,Notre Dame
398,1988,2,26,"Ferreira, Rolando",C,Houston
399,1988,2,27,"Jones, Shelton",F,St. John's
400,1988,2,28,"Lang, Andrew",C,Arkansas
401,1988,2,29,"Del Negro, Vinny",SG,NC State
402,1988,2,30,"Dembo, Fennis",PF,Wyoming
403,1988,2,31,"Stephens, Everette",G,Purdue
404,1988,2,32,"Shackleford, Charles",F/C,NC State
405,1988,2,33,"Long, Grant",F,Eastern Michigan
406,1988,2,34,"Tolbert, Tom",F/C,Arizona
407,1988,2,35,"Gray, Sylvester",F,Memphis State
408,1988,2,36,"Eackles, Ledell",G/F,New Orleans
409,1988,2,37,"Butler, Greg",C,Stanford
410,1988,2,38,"Garrett, Dean",C,Indiana
411,1988,2,39,"Horford, Tito",C,Miami (FL)
412,1988,2,40,"Graham, Orlando",F,Auburn-Montgomery
413,1988,2,41,"Smart, Keith",G,Indiana
414,1988,2,42,"Moe, Jeff",SG,Iowa
415,1988,2,43,"Mitchell, Todd",F,Purdue
416,1988,2,44,"Taylor, Anthony",G,Oregon
417,1988,2,45,"Garrick, Tom",G,Rhode Island
418,1988,2,46,"Wiley, Morlon",G,Long Beach State
419,1988,2,47,"Maxwell, Vernon",SG,Florida
420,1988,2,48,"Williams, Micheal",G,Baylor
421,1988,2,49,"Vargas, JosÃ©",C/PF,LSU
422,1988,2,50,"Kerr, Steve",PG,Arizona
423,1989,1,1,Pervis Ellison,PF,LouisvilleÂ 
424,1989,1,2,Danny Ferry,PF,DukeÂ 
425,1989,1,3,Sean Elliott,SF/SG,ArizonaÂ 
426,1989,1,4,Glen Rice,SF,MichiganÂ 
427,1989,1,5,J. R. Reid,PF/C,North CarolinaÂ 
428,1989,1,6,Stacey King,C,OklahomaÂ 
429,1989,1,7,George McCloud,SG/SF,Florida StateÂ 
430,1989,1,8,Randy White,PF,Louisiana TechÂ 
431,1989,1,9,Tom Hammonds,PF/C,Georgia TechÂ 
432,1989,1,10,Pooh Richardson,PG,UCLAÂ 
433,1989,1,11,Nick Anderson,SF/SG,IllinoisÂ 
434,1989,1,12,Mookie Blaylock,PG,OklahomaÂ 
435,1989,1,13,Michael Smith,PF,BYUÂ 
436,1989,1,14,Tim Hardaway*,PG,UTEPÂ 
437,1989,1,15,Todd Lichti,SG,StanfordÂ 
438,1989,1,16,Dana Barros,PG,Boston CollegeÂ 
439,1989,1,17,Shawn Kemp,PF/C,Trinity Valley CC
440,1989,1,18,B. J. Armstrong,PG,IowaÂ 
441,1989,1,19,Kenny Payne,PF,LouisvilleÂ 
442,1989,1,20,Jeff Sanders,PF/C,Georgia SouthernÂ 
443,1989,1,21,Blue Edwards,SF/SG,East CarolinaÂ 
444,1989,1,22,Byron Irvin,SG,MissouriÂ 
445,1989,1,23,Roy Marble,SG/SF,IowaÂ 
446,1989,1,24,Anthony Cook,PF/C,ArizonaÂ 
447,1989,1,25,John Morton,PG,Seton HallÂ 
448,1989,1,26,Vlade Divac,C,KK PartizanÂ 
449,1989,1,27,Kenny Battle,PF,IllinoisÂ 
450,1989,2,28,Sherman Douglas,G,SyracuseÂ 
451,1989,2,29,Dyron Nix,F,TennesseeÂ 
452,1989,2,30,Frank Kornet,F,VanderbiltÂ 
453,1989,2,31,Jeff Martin,G,Murray StateÂ 
454,1989,2,32,Stanley Brundy,F,DePaulÂ 
455,1989,2,33,Jay Edwards,G,IndianaÂ 
456,1989,2,34,Gary Leonard,C,MissouriÂ 
457,1989,2,35,Pat Durham,F,Colorado StateÂ 
458,1989,2,36,Cliff Robinson,PF/C,ConnecticutÂ 
459,1989,2,37,Michael Ansley,F,AlabamaÂ 
460,1989,2,38,Doug West,G/F,VillanovaÂ 
