player_id,year,round,pick,Player,Class,Pos,School,Conf_x,G,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team_Rk,W,L,BPI Off,BPI Def,BPI,Player_Rank,Outside100,Height,Weight
76,2016,2,38,Patrick McCaw,SO,G,Nevada-Las Vegas,MWC,33,33.7,5.1,10.9,3,5.3,2.1,5.6,2.5,3.2,1.2,4,5.1,3.9,2.5,0.4,2.1,2.2,14.7,95,18,15,5.5,-0.7,4.8,0,1,77,180
77,2013,2,42,Pierre Jackson,SR,G,Baylor,Big 12,36,34.8,6,14.1,3.6,7.3,2.4,6.8,5.3,6.7,0.7,3.1,3.8,7.1,1.5,0,3.4,2.2,19.8,28,23,14,9,2.3,11.3,0,1,71,170
78,2012,2,37,Quincy Acy,SR,F,Baylor,Big 12,38,29.7,4.2,7.2,4.1,7.1,0.1,0.1,3.6,4.6,2.6,4.8,7.4,1,0.9,1.8,1.9,3.1,12,17,30,8,8.9,3.8,12.7,0,1,80,220
79,2015,1,28,R.J. Hunter,JR,G,Georgia State,Sun Belt,35,37,5.8,14.7,3.5,7.2,2.3,7.5,5.8,6.6,0.8,3.9,4.7,3.6,2.1,1,2.2,2.4,19.7,57,25,10,4,3.6,7.7,0,1,77,180
80,2014,2,47,Russ Smith,SR,G,Louisville,AAC,37,29.3,6.1,13,4.2,8.1,1.9,4.9,4.1,5.9,0.8,2.5,3.3,4.6,2,0.1,2.8,2.5,18.2,1,31,6,10.7,9.4,20.1,0,1,73,160
81,2014,2,55,Semaj Christon,SO,G,Xavier,Big East,34,35.3,5.9,12.4,5.4,10.9,0.6,1.4,4.6,6.9,0.4,2.2,2.7,4.2,1.3,0.2,2.6,2.1,17,39,21,13,5.1,4.5,9.6,0,1,74,180
82,2017,2,46,Sterling Brown,SR,G,Southern Methodist,AAC,35,32.7,4.6,10,2.9,6.1,1.7,3.9,2.5,3.1,1.6,4.9,6.5,3,1.4,0.5,2,2.6,13.4,17,30,5,10.3,5.2,15.5,0,1,76,180
83,2013,1,18,Shane Larkin,SO,G,Miami (FL),ACC,36,36.4,5.1,10.6,3.2,5.9,1.9,4.7,2.4,3.1,0.5,3.4,3.8,4.6,2,0.1,2.3,1.6,14.5,15,29,7,4.7,9.3,14,0,1,71,160
84,2011,2,34,Shelvin Mack,JR,G,Butler,Horizon,38,32.1,5.3,13,3,6.5,2.3,6.5,3.2,4.1,0.7,3.8,4.5,3.4,0.8,0.1,2.4,1.7,16,41,28,10,5,5.2,10.2,0,1,74,175
85,2014,2,38,Spencer Dinwiddie,SO,G,Colorado,Pac-12,33,32.5,3.9,9.5,2.5,5.3,1.4,4.2,6,7.3,0.3,2.9,3.2,3,1.3,0.5,2.2,2,15.3,74,23,12,2.5,4.2,6.7,0,1,75,160
86,2013,1,20,Tony Snell,JR,G,New Mexico,MWC,35,31.2,4.1,9.7,2.3,5.1,1.8,4.7,2.5,2.9,0.4,2.2,2.6,2.9,0.8,0.5,2.1,1.3,12.5,41,29,6,3.9,6,10,0,1,79,190
87,2015,2,51,Tyler Harvey,JR,G,Eastern Washington,Big Sky,32,36.9,7.2,15.3,3.2,6,4,9.3,4.7,5.5,0.6,3,3.6,2.6,1.1,0.1,2,1.9,23.1,120,26,9,9.9,-7,2.9,0,1,76,150
88,2014,2,59,Xavier Thames,SR,G,San Diego State,MWC,36,31.3,5.2,12.7,3.5,8.2,1.7,4.5,5.4,6.5,0.6,2.3,2.9,3.2,1.6,0.1,1.4,2,17.6,21,31,5,1.8,11.5,13.3,0,1,75,160
89,2017,1,16,Justin Patton,FR,C,Creighton,Big East,35,25.3,5.7,8.5,5.5,8,0.2,0.4,1.3,2.5,1.7,4.5,6.2,1.2,0.9,1.4,1.7,2.7,12.9,27,25,10,8.1,3.9,12,0,1,82,205
90,2017,1,23,OG Anunoby,SO,F,Indiana,Big Ten,16,25.1,4.3,7.6,3.4,4.8,0.9,2.8,1.7,3,1.8,3.7,5.4,1.4,1.3,1.3,1.6,2.1,11.1,32,18,16,7.5,3.2,10.6,0,1,79,210
91,2017,2,33,Wes Iwundu,SR,F,Kansas State,Big 12,35,31.4,4.3,9,3.4,6.5,0.9,2.4,3.5,4.5,1,5.3,6.3,3.5,1,0.3,2.3,1.8,13,37,21,14,5.1,5.1,10.2,0,1,79,190
92,2017,1,27,Kyle Kuzma,JR,F,Utah,Pac-12,29,30.8,6.3,12.4,5.3,9.6,0.9,2.9,2.9,4.4,2.8,6.6,9.3,2.4,0.6,0.5,2.1,1.6,16.4,59,20,12,4.2,3.4,7.7,0,1,81,190
93,2017,1,19,John Collins,SO,F,Wake Forest,ACC,33,26.6,7.1,11.4,7.1,11.4,0,0,5,6.7,3.8,6.1,9.8,0.5,0.6,1.6,1.8,3,19.2,30,19,14,10.1,0.7,10.7,0,1,80,221
94,2016,1,12,Taurean Prince,SR,F,Baylor,Big 12,34,30.6,5.5,12.7,3.9,8.4,1.6,4.3,3.3,4.3,2.4,3.7,6.1,2.3,1.3,0.7,2.7,2.5,15.9,29,22,12,7.5,4.3,11.8,0,1,79,210
95,2016,1,17,Wade Baldwin IV,SO,G,Vanderbilt,SEC,33,30.4,4.1,9.6,2.8,6.5,1.2,3.1,4.7,5.9,0.4,3.6,4,5.2,1.2,0.3,2.8,2.6,14.1,17,19,14,6,7.6,13.6,0,1,74,180
96,2016,2,52,Joel Bolomboy,SR,C,Weber State,Big Sky,33,31.5,5.8,10.2,5.2,8.5,0.6,1.7,4.8,6.9,3.3,9.3,12.6,1.1,0.7,1.2,2.4,2.2,17.1,120,26,9,0.1,2.7,2.8,0,1,79,210
97,2015,2,37,Richaun Holmes,JR,F,Bowling Green,MAC,31,28.8,5.3,9.5,4.7,8.1,0.6,1.4,3.5,4.9,2.8,5.2,8,0.8,0.7,2.7,1.9,2.5,14.7,129,21,12,-1.1,3.4,2.3,0,1,80,215
98,2015,2,55,Cady Lalanne,SR,F,Massachusetts,A-10,32,29,4.3,7.8,4.2,7.3,0.1,0.6,2.8,4.5,3.4,6.1,9.5,0.3,0.6,1.9,2.5,2.7,11.6,96,17,15,4.6,0.1,4.6,0,1,80,210
99,2015,2,38,Darrun Hilliard,SR,G,Villanova,Big East,35,28.8,4.9,11,2.6,5.2,2.3,5.8,2.3,2.9,0.5,2.7,3.1,2.1,1.8,0.3,1.2,2.2,14.3,6,33,3,10.8,8.5,19.3,0,1,77,185
100,2015,1,27,Larry Nance Jr.,SR,F,Wyoming,MWC,31,34.9,6,11.6,5.5,10.3,0.5,1.4,3.7,4.7,1.4,5.8,7.2,2.5,1.2,1.2,2.3,2.2,16.1,119,25,10,-4.8,7.7,2.9,0,1,79,195
101,2014,2,50,Alec Brown,SR,F,Green Bay,Horizon,30,30.3,5.5,11.6,4.1,8.2,1.4,3.3,2.9,4,2.1,3.6,5.7,1,0.5,3.1,2.2,2.2,15.3,79,24,7,1.8,4.2,6,0,1,84,205
