,Unnamed: 0,year,round,pick,position,school,Player,Class,Season,Pos,School,Conf_x,G,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,teamyear,Rk,Team,Conf_y,W-L,BPI Off,BPI Def,BPI,Year,identifier_hs,Rank,Name,Position,Height,Weight,Player
199,285,2015,1,15,SG,Kansas,Kelly Oubre Jr.,FR,2014-15,G,Kansas,Big 12,36,21,3.1,6.9,2.1,4.3,0.9,2.6,2.2,3.1,1.1,3.8,5,0.8,1.1,0.4,1.2,2,9.3,Kansas2015,13,Kansas,Big 12,27-9,8.9,5.5,14.4,2015,Kelly Oubre Jr.,11,Kelly Oubre Jr.,SF,79,190,Kelly Oubre Jr.
209,125,2015,1,25,PF,LSU,Jarell Martin,SO,2014-15,F,Louisiana,SEC,33,35.1,6.1,12,5.7,10.5,0.4,1.6,4.2,6.2,3,6.3,9.2,1.8,1.2,0.7,2.8,2.8,16.9,LSU2015,55,LSU,SEC,22-11,7,0.8,7.8,2015,Jarrell Martin,11,Jarrell Martin,PF,79,210,Jarell Martin
2,58,2011,1,4,C/PF,Texas,Tristan Thompson,FR,2010-11,F,Texas,Big 12,36,30.7,4.8,8.8,4.8,8.8,0,0,3.5,7.3,3.8,4,7.8,1.3,0.9,2.4,1.8,2.8,13.1,Texas2011,7,Texas,Big 12,28-8,8,8.1,16.1,2011,Tristan Thompson,10,Tristan Thompson,PF,81,235,Tristan Thompson
146,199,2014,1,6,PG,Oklahoma State,Marcus Smart,FR,2012-13,G,Oklahoma State,Big 12,33,33.5,4.6,11.3,3.4,7.4,1.2,4,5.1,6.5,1.5,4.3,5.8,4.2,3,0.7,3.4,2.8,15.4,Oklahoma State2014,17,Oklahoma State,Big 12,21-13,10.3,3.8,14.1,2014,Marcus Smart,10,Marcus Smart,SG,75,200,Marcus Smart
306,190,2017,2,31,PG,Duke,Frank Jackson,FR,2016-17,G,Duke,ACC,36,24.9,3.7,7.8,2.3,4.2,1.4,3.6,2.1,2.8,0.6,1.9,2.5,1.7,0.6,0.1,1.4,2.4,10.9,Duke2017,7,Duke,ACC,28-9,11.8,5.9,17.7,2017,Frank Jackson,10,Frank Jackson,PG,76,200,Frank Jackson
78,203,2013,1,22,C,Duke,Mason Plumlee,SR,2012-13,F,Duke,ACC,36,34.7,6.1,10.3,6.1,10.3,0,0,4.8,7.1,2.7,7.2,9.9,1.9,1,1.4,2.9,2.6,17.1,Duke2013,4,Duke,ACC,30-6,12.2,5.4,17.6,2013,Mason Plumlee,10,Mason Plumlee,C,83,220,Mason Plumlee
127,244,2013,2,40,PF,Arizona,Grant Jerrett,FR,2012-13,F,Arizona,Pac-12,34,17.8,1.9,4.5,0.9,2.2,0.9,2.3,0.5,0.6,1.1,2.5,3.6,0.5,0.5,1,0.6,1.3,5.2,Arizona2013,12,Arizona,Pac-12,27-8,9.2,5.3,14.5,2013,Grant Jerrett,9,Grant Jerrett,PF,82,220,Grant Jerrett
63,23,2012,1,18,PF,Kentucky,Terrence Jones,SO,2011-12,F,Kentucky,SEC,38,29.3,4.7,9.3,4.2,8,0.4,1.3,2.6,4.2,2.5,4.6,7.2,1.3,1.3,1.8,1.6,2.4,12.3,Kentucky2012,2,Kentucky,SEC,38-2,11.9,8.2,20.1,2012,Terrence Jones,9,Terrence Jones,SF,81,230,Terrence Jones
188,10,2015,1,1,C,Kentucky,Karl-Anthony Towns,FR,2014-15,C,Kentucky,SEC,39,21.1,3.7,6.6,3.7,6.4,0.1,0.2,2.8,3.4,2.4,4.3,6.7,1.1,0.5,2.3,1.4,2.9,10.3,Kentucky2015,1,Kentucky,SEC,38-1,10.3,13.6,23.9,2015,,9,,,83,235,Karl-Anthony Towns
287,28,2017,1,11,SG,Kentucky,Malik Monk,FR,2016-17,G,Kentucky,SEC,38,32.1,6.6,14.7,3.9,7.8,2.7,6.9,3.9,4.7,0.3,2.2,2.5,2.3,0.9,0.5,2,1.9,19.8,Kentucky2017,9,Kentucky,SEC,32-6,9.6,7.9,17.5,2017,Malik Monk,9,Malik Monk,SG,75,185,Malik Monk
301,47,2017,1,26,PF,Purdue,Caleb Swanigan,SO,2016-17,F,Purdue,Big Ten,35,32.5,6.3,12,5.3,9.6,1.1,2.4,4.7,6,2.7,9.7,12.5,3.1,0.4,0.8,3.4,2.8,18.5,Purdue2017,14,Purdue,Big Ten,27-8,8.9,7.2,16.1,2017,Caleb Swanigan,9,Caleb Swanigan,C,80,275,Caleb Swanigan
73,21,2012,1,29,PG,Kentucky,Marquis Teague,FR,2011-12,G,Kentucky,SEC,40,32.6,3.6,8.8,3,6.8,0.7,2,2.1,3,0.4,2.1,2.5,4.8,0.9,0.3,2.7,2.3,10,Kentucky2012,2,Kentucky,SEC,38-2,11.9,8.2,20.1,2012,Marquis Teague,8,Marquis Teague,PG,74,175,Marquis Teague
83,259,2012,2,40,SG,Memphis,Will Barton,SO,2011-12,G,Memphis,CUSA,35,35.3,6.6,12.9,5.5,9.9,1.1,3.1,3.8,5.1,2,6,8,2.9,1.4,0.7,2.1,2.1,18,Memphis2012,12,Memphis,C-USA,26-9,9.5,5.1,14.6,2012,Will Barton,8,Will Barton,SG,78,170,Will Barton
155,121,2014,1,17,SG/SF,Kentucky,James Young,FR,2013-14,G,Kentucky,SEC,40,32.4,4.6,11.3,2.5,5.4,2.1,5.9,3.1,4.4,1,3.3,4.3,1.7,0.8,0.2,1.9,2.1,14.3,Kentucky2014,12,Kentucky,SEC,29-10,8.9,6,14.9,2014,James Young,8,James Young,SF,78,210,James Young
292,157,2017,1,15,SF,North Carolina,Justin Jackson,JR,2016-17,F,North Carolina,ACC,40,32,6.6,14.9,4,7.8,2.6,7.1,2.5,3.3,1.5,3.2,4.7,2.8,0.8,0.2,1.7,1.4,18.3,North Carolina2017,3,North Carolina,ACC,33-7,11.3,8.2,19.4,2017,Justin Jackson,8,Justin Jackson,SF,79,185,Justin Jackson
310,261,2017,2,35,PF,California,Ivan Rabb,SO,2016-17,F,California,Pac-12,31,32.6,4.9,10.1,4.6,9.4,0.3,0.6,4,6,3,7.4,10.5,1.5,0.7,1,2.2,3.1,14,California2017,56,California,Pac-12,21-13,0.4,7.7,8.1,2017,Ivan Rabb,8,Ivan Rabb,PF,83,210,Ivan Rabb
15,57,2011,1,26,SG,Texas,Jordan Hamilton,SO,2010-11,G,Texas,Big 12,36,32.2,6.8,15.3,4.3,8.8,2.5,6.5,2.6,3.4,2,5.7,7.7,2.1,0.9,0.6,2.1,1.8,18.6,Texas2011,7,Texas,Big 12,28-8,8,8.1,16.1,2011,Jordan Hamilton,8,Jordan Hamilton,SF,79,215,Jordan Hamilton
97,315,2013,1,1,PF/SF,UNLV,Anthony Bennett,FR,2012-13,F,UNLV,MWC,35,27.1,5.8,10.8,4.7,8.1,1,2.7,3.5,5.1,2.5,5.7,8.1,1,0.7,1.2,1.9,2.3,16.1,UNLV2013,33,UNLV,MW,25-10,5.6,5.2,10.8,2013,Anthony Bennett,7,Anthony Bennett,PF,80,230,Anthony Bennett
72,226,2012,1,28,SF,Baylor,Perry Jones III,SO,2011-12,F,Baylor,Big 12,33,30.7,5.5,11,5.2,10,0.3,1,2.2,3.1,2.7,4.9,7.6,1.3,0.8,0.6,1.7,2.3,13.5,Baylor2012,17,Baylor,Big 12,30-8,8.9,3.8,12.7,2012,Perry Jones III,7,Perry Jones III,PF,83,220,Perry Jones III
81,227,2012,2,38,SF,Baylor,Quincy Miller,FR,2011-12,F,Baylor,Big 12,37,24.4,3.7,8.4,3.1,6.5,0.6,1.9,2.5,3.1,1.5,3.5,4.9,1.4,0.7,0.6,1.8,1.9,10.6,Baylor2012,17,Baylor,Big 12,30-8,8.9,3.8,12.7,2012,Quincy Miller,7,Quincy Miller,PF,81,210,Quincy Miller
192,233,2015,1,8,SF,Arizona,Stanley Johnson,FR,2014-15,F,Arizona,Pac-12,38,28.4,4.6,10.3,3.4,7.2,1.1,3.1,3.5,4.7,2,4.5,6.5,1.7,1.5,0.4,2.2,2.6,13.8,Arizona2015,5,Arizona,Pac-12,34-4,10.7,8.9,19.6,2015,Stanley Johnson,7,Stanley Johnson,SF,78,225,Stanley Johnson
227,14,2015,2,48,C,Kentucky,Dakari Johnson,SO,2014-15,C,Kentucky,SEC,39,16.3,2,4,2,4,0,0,2.3,3.7,1.7,2.9,4.6,0.7,0.4,0.9,1.1,1.8,6.4,Kentucky2015,1,Kentucky,SEC,38-1,10.3,13.6,23.9,2015,Dakari Johnson,7,Dakari Johnson,C,82,250,Dakari Johnson
257,278,2016,2,33,PF/C,Kansas,Cheick Diallo,FR,2015-16,C,Kansas,Big 12,27,7.5,1.2,2.1,1.2,2.1,0,0,0.6,1,0.6,1.9,2.5,0,0.3,0.9,0.6,1.4,3,Kansas2016,5,Kansas,Big 12,33-5,11.8,6.6,18.5,2016,Cheick Diallo,7,Cheick Diallo,PF,81,225,Cheick Diallo
278,274,2017,1,1,PG/SG,Washington,Markelle Fultz,FR,2016-17,G,Washington,Pac-12,25,35.7,8.4,17.6,6.3,12.5,2.1,5,4.4,6.7,1.3,4.4,5.7,5.9,1.6,1.2,3.2,2.5,23.2,Washington2017,184,Washington,Pac-12,22-Sep,1.9,-2.7,-0.9,2017,Markelle Fultz,7,Markelle Fultz,PG,76,190,Markelle Fultz
44,100,2012,1,17,C,North Carolina,Tyler Zeller,SR,2011-12,F,North Carolina,ACC,38,28.2,5.8,10.5,5.8,10.5,0,0,4.8,5.9,3.8,5.8,9.6,0.9,0.9,1.5,1.9,2.7,16.3,North Carolina2012,5,North Carolina,ACC,32-6,13.7,3.4,17.1,2012,,7,,,83,215,Tyler Zeller
108,312,2013,1,12,C,Pittsburgh,Steven Adams,FR,2012-13,C,Pitt,Big East,32,23.4,3.1,5.5,3.1,5.5,0,0,1,2.2,2.8,3.5,6.3,0.6,0.7,2,1.1,1.6,7.2,Pittsburgh2013,6,Pittsburgh,Big East,24-9,4.5,12.2,16.7,2013,Steven Adams,6,Steven Adams,C,82,235,Steven Adams
144,16,2014,1,3,C,Kansas,Joel Embiid,FR,2013-14,C,Kansas,Big 12,28,23.1,3.8,6.1,3.8,5.9,0,0.2,3.5,5.1,2.3,5.8,8.1,1.4,0.9,2.6,2.4,3.4,11.2,Kansas2014,7,Kansas,Big 12,25-10,11,4.8,15.8,2014,Joel Embiid,6,Joel Embiid,C,83,230,Joel Embiid
14,326,2011,1,19,SF,Tennessee,Tobias Harris,FR,2010-11,F,Tennessee,SEC,34,29.2,5.4,11.8,4.8,9.6,0.7,2.2,3.8,5,2,5.3,7.3,1.3,0.7,0.9,1.8,2.1,15.3,Tennessee2011,50,Tennessee,SEC,19-15,4.4,4.7,9,2011,Tobias Harris,6,Tobias Harris,PF,80,210,Tobias Harris
196,12,2015,1,12,PF,Kentucky,Trey Lyles,FR,2014-15,F,Kentucky,SEC,36,23,3.3,6.7,3.1,5.9,0.1,0.8,2.1,2.8,1.8,3.4,5.2,1.1,0.5,0.4,1.1,1.6,8.7,Kentucky2015,1,Kentucky,SEC,38-1,10.3,13.6,23.9,2015,Trey Lyles,6,Trey Lyles,PF,82,255,Trey Lyles
262,115,2016,2,40,C,Maryland,Diamond Stone,FR,2015-16,C,Maryland,Big Ten,35,23.1,4.8,8.4,4.8,8.4,0,0,2.9,3.8,2.2,3.2,5.4,0.4,0.5,1.6,1.5,2.3,12.5,Maryland2016,20,Maryland,Big Ten,27-9,6.3,7,13.3,2016,Diamond Stone,6,Diamond Stone,C,82,250,Diamond Stone
282,29,2017,1,5,PG,Kentucky,De'Aaron Fox,FR,2016-17,G,Kentucky,SEC,36,29.6,5.9,12.4,5.5,10.5,0.5,1.9,4.3,5.9,0.6,3.4,4,4.6,1.5,0.2,2.4,2.5,16.7,Kentucky2017,9,Kentucky,SEC,32-6,9.6,7.9,17.5,2017,Deaaron Fox,6,Deaaron Fox,PG,75,160,De'Aaron Fox
42,101,2012,1,14,PF,North Carolina,John Henson,JR,2011-12,F,North Carolina,ACC,35,29.1,5.9,11.7,5.9,11.7,0,0,2,3.9,2.5,7.4,9.9,1.3,0.6,2.9,1.3,1.6,13.7,North Carolina2012,5,North Carolina,ACC,32-6,13.7,3.4,17.1,2012,John Henson,6,John Henson,PF,82,195,John Henson
39,198,2011,2,49,PG,Kansas,Josh Selby,FR,2010-11,G,Kansas,Big 12,26,20.4,2.8,7.4,1.5,3.8,1.3,3.6,1.1,1.4,0.4,1.8,2.2,2.2,0.8,0,2,1.7,7.9,Kansas2011,2,Kansas,Big 12,35-3,13.3,6.5,19.8,2011,Josh Selby,5,Josh Selby,PG,75,183,Josh Selby
48,36,2012,1,3,SG,Florida,Bradley Beal,FR,2011-12,G,Florida,SEC,37,34.2,4.7,10.6,3,5.6,1.7,5,3.6,4.7,1.4,5.4,6.7,2.2,1.4,0.8,2.1,2.1,14.8,Florida2012,9,Florida,SEC,26-11,11.8,3.5,15.3,2012,Bradley Beal,5,Bradley Beal,SG,76,205,Bradley Beal
164,145,2014,1,30,SF,UCLA,Kyle Anderson,SO,2013-14,G,UCLA,Pac-12,36,33.2,5,10.5,4.3,8.9,0.8,1.6,3.8,5.2,1.3,7.5,8.8,6.5,1.8,0.8,3.1,1.7,14.6,UCLA2014,20,UCLA,Pac-12,28-9,12,1.8,13.8,2014,Kyle Anderson,5,Kyle Anderson,SF,79,210,Kyle Anderson
165,146,2014,1,30,SF,UCLA,Kyle Anderson,JR,2013-14,G,Delaware,CAA,35,34.7,3.6,9.1,1.1,2.6,2.4,6.5,1.4,1.8,0.9,2.8,3.7,0.9,0.8,0.3,0.8,2.6,11,UCLA2014,20,UCLA,Pac-12,28-9,12,1.8,13.8,2014,Kyle Anderson,5,Kyle Anderson,SF,79,210,Kyle Anderson
224,9,2015,2,44,PG,Kentucky,Andrew Harrison,FR,2013-14,G,Kentucky,SEC,40,31.7,3,8.3,2.2,5.9,0.8,2.4,4,5.2,0.8,2.4,3.2,4,0.5,0.2,2.7,3,10.9,Kentucky2015,1,Kentucky,SEC,38-1,10.3,13.6,23.9,2015,Andrew Harrison,5,Andrew Harrison,PG,77,210,Andrew Harrison
246,102,2016,1,18,PF,Marquette,Henry Ellenson,FR,2015-16,F,Marquette,Big East,33,33.5,5.9,13.2,5,10,0.9,3.2,4.3,5.8,2.2,7.6,9.7,1.8,0.8,1.5,2.4,2.5,17,Marquette2016,101,Marquette,Big East,20-13,4.2,0.3,4.5,2016,Henry Ellenson,5,Henry Ellenson,PF,82,230,Henry Ellenson
290,27,2017,1,14,PF/C,Kentucky,Bam Adebayo,FR,2016-17,F,Kentucky,SEC,38,30.1,4.5,7.5,4.5,7.5,0,0,4.1,6.2,3.1,4.9,8,0.8,0.7,1.5,1.7,2.6,13,Kentucky2017,9,Kentucky,SEC,32-6,9.6,7.9,17.5,2017,Bam Adebayo,5,Bam Adebayo,PF,81,240,Bam Adebayo
3,38,2011,1,8,PG,Kentucky,Brandon Knight,FR,2010-11,G,Kentucky,SEC,38,35.9,5.7,13.5,3.4,7.4,2.3,6.1,3.6,4.5,0.7,3.4,4,4.2,0.7,0.2,3.2,2.2,17.3,Kentucky2011,5,Kentucky,SEC,29-9,8.7,7.8,16.5,2011,Brandon Knight,4,Brandon Knight,PG,75,183,Brandon Knight
47,22,2012,1,2,SF,Kentucky,Michael Kidd-Gilchrist,FR,2011-12,F,Kentucky,SEC,40,31.1,4,8.2,3.7,6.9,0.3,1.3,3.6,4.8,2.6,4.9,7.4,1.9,1,0.9,2.2,2.4,11.9,Kentucky2012,2,Kentucky,SEC,38-2,11.9,8.2,20.1,2012,Michael Kidd Gilchrist,4,Michael Kidd Gilchrist,SF,79,210,Michael Kidd-Gilchrist
145,0,2014,1,4,PF,Arizona,Aaron Gordon,FR,2013-14,F,Arizona,Pac-12,38,31.2,5,10.1,4.6,8.9,0.4,1.2,2,4.7,2.7,5.3,8,2,0.9,1,1.4,2.4,12.4,Arizona2014,4,Arizona,Pac-12,33-5,5.9,11.8,17.7,2014,Aaron Gordon,4,Aaron Gordon,PF,80,210,Aaron Gordon
208,111,2015,1,24,PG,Duke,Tyus Jones,FR,2014-15,G,Duke,ACC,39,33.9,3.5,8.3,2.3,5.1,1.2,3.2,3.7,4.2,0.5,3,3.5,5.6,1.5,0.1,1.9,1.2,11.8,Duke2015,2,Duke,ACC,34-4,16.4,6,22.4,2015,Tyus Jones,4,Tyus Jones,PG,73,171,Tyus Jones
236,130,2016,1,3,SF/SG,California,Jaylon Brown,SR,2015-16,G,Evansville,MVC,33,36.8,6.7,14.4,5.5,11.7,1.2,2.7,6.4,7.5,0.5,3.9,4.4,3.1,1,0.1,2.5,2.4,20.9,California2016,30,California,Pac-12,23-11,5.1,6.7,11.8,2016,Jaylen Brown,4,Jaylen Brown,SF,79,220,Jaylon Brown
279,183,2017,1,2,PG,UCLA,Lonzo Ball,FR,2016-17,G,UCLA,Pac-12,36,35.1,5.3,9.5,3,4.1,2.2,5.4,1.8,2.7,0.9,5.1,6,7.6,1.8,0.8,2.5,1.8,14.6,UCLA2017,12,UCLA,Pac-12,31-5,14.4,2.4,16.8,2017,Lonzo Ball,4,Lonzo Ball,PG,77,195,Lonzo Ball
19,176,2011,2,33,SF,Duke,Kyle Singler,SR,2010-11,F,Duke,ACC,37,34.8,5.9,13.8,4.2,8.5,1.7,5.2,3.4,4.2,2.4,4.5,6.8,1.6,0.9,0.3,1.9,2.6,16.9,Duke2011,3,Duke,ACC,32-5,13.7,5.3,19,2011,,4,,,80,215,Kyle Singler
0,178,2011,1,1,PG,Duke,Kyrie Irving,FR,2010-11,G,Duke,ACC,11,27.5,5,9.5,3.4,5.9,1.6,3.5,5.8,6.5,0.5,2.8,3.4,4.3,1.5,0.5,2.5,2.1,17.5,Duke2011,3,Duke,ACC,32-5,13.7,5.3,19,2011,Kyrie Irving,3,Kyrie Irving,PG,74,172,Kyrie Irving
55,25,2012,1,10,SG,Duke,Austin Rivers,FR,2011-12,G,Duke,ACC,34,33.2,5.1,11.8,3.4,7.1,1.7,4.7,3.6,5.4,0.6,2.8,3.4,2.1,1,0,2.3,2.2,15.5,Duke2012,11,Duke,ACC,27-7,12.2,2.6,14.8,2012,Austin Rivers,3,Austin Rivers,SG,76,189,Austin Rivers
147,122,2014,1,7,PF,Kentucky,Julius Randle,FR,2013-14,F,Kentucky,SEC,40,30.8,4.9,9.8,4.8,9.3,0.1,0.5,5.1,7.2,3.5,6.9,10.4,1.4,0.5,0.8,2.5,2.3,15,Kentucky2014,12,Kentucky,SEC,29-10,8.9,6,14.9,2014,Julius Randle,3,Julius Randle,PF,81,225,Julius Randle
235,37,2016,1,2,SF,Duke,Brandon Ingram,FR,2015-16,G,Duke,ACC,36,34.6,5.9,13.4,3.7,8,2.2,5.4,3.2,4.7,1.9,4.9,6.8,2,1.1,1.4,2,2.1,17.3,Duke2016,11,Duke,ACC,25-11,12.1,3.5,15.6,2016,Brandon Ingram,3,Brandon Ingram,SF,80,198,Brandon Ingram
280,188,2017,1,3,SF,Duke,Jayson Tatum,FR,2016-17,F,Duke,ACC,29,33.3,5.7,12.6,4.3,8.6,1.4,4,4.1,4.8,1.3,6,7.3,2.1,1.3,1.1,2.6,3,16.8,Duke2017,7,Duke,ACC,28-9,11.8,5.9,17.7,2017,Jayson Tatum,3,Jayson Tatum,SF,80,175,Jayson Tatum
110,314,2013,1,14,SG/SF,UCLA,Shabazz Muhammad,FR,2012-13,G,UCLA,Pac-12,32,30.8,6.3,14.3,5.1,10.9,1.3,3.3,4,5.6,2.7,2.5,5.2,0.8,0.7,0.1,1.6,1.7,17.9,UCLA2013,60,UCLA,Pac-12,25-10,8.8,-1,7.8,2013,Shabazz Muhammad,2,Shabazz Muhammad,SF,78,215,Shabazz Muhammad
54,136,2012,1,9,C,Connecticut,Andre Drummond,FR,2011-12,C,Connecticut,AAC,34,28.4,4.6,8.6,4.6,8.5,0,0.1,0.8,2.6,3.4,4.2,7.6,0.4,0.8,2.7,1.5,2.2,10,Connecticut2012,39,Connecticut,Big East,20-14,4.3,5.2,9.5,2012,Andre Drummond,2,Andre Drummond,C,82,275,Andre Drummond
65,124,2012,1,21,PF,Ohio State,Jared Sullinger,SO,2011-12,F,Ohio State,Big Ten,37,30.4,6.2,11.9,5.7,10.8,0.4,1.1,4.7,6.2,3.1,6.1,9.2,1.2,1.2,1.1,1.9,2.9,17.5,Ohio State2012,1,Ohio State,Big Ten,31-8,10.8,9.5,20.3,2012,Jared Sullinger,2,Jared Sullinger,PF,80,262,Jared Sullinger
143,107,2014,1,2,SF/PF,Duke,Jabari Parker,FR,2013-14,F,Duke,ACC,35,30.7,6.7,14.3,5.7,11.2,1.1,3,4.6,6.1,3,5.7,8.7,1.2,1.1,1.2,2.3,2.4,19.1,Duke2014,3,Duke,ACC,26-9,13.6,5.2,18.8,2014,Jabari Parker,2,Jabari Parker,SF,80,220,Jabari Parker
195,290,2015,1,11,C,Texas,Myles Turner,FR,2014-15,C,Texas,Big Ten,34,22.2,3.4,7.6,2.9,5.7,0.5,1.8,2.8,3.3,1.3,5.2,6.5,0.6,0.3,2.6,1.4,2.4,10.1,Texas2015,20,Texas,Big 12,20-14,4,8.5,12.5,2015,Myles Turner,2,Myles Turner,C,84,240,Myles Turner
253,119,2016,1,28,PF/C,Kentucky,Skal Labissiere,FR,2015-16,C,Kentucky,SEC,36,15.8,2.7,5.3,2.7,5.2,0,0.1,1.1,1.7,1,2.2,3.1,0.3,0.3,1.6,0.9,3,6.6,Kentucky2016,8,Kentucky,SEC,27-9,9.8,6.4,16.2,2016,Skal Labissiere,2,Skal Labissiere,C,82,210,Skal Labissiere
281,152,2017,1,4,SF,Kansas,Josh Jackson,FR,2016-17,G,Kansas,Big 12,35,30.8,6.3,12.3,5.3,9.7,1,2.6,2.8,4.9,2.3,5.1,7.4,3,1.7,1.1,2.8,3,16.3,Kansas2017,4,Kansas,Big 12,31-5,12.1,6.3,18.4,2017,Josh Jackson,2,Josh Jackson,SF,79,185,Josh Jackson
102,307,2013,1,6,C,Kentucky,Nerlens Noel,FR,2012-13,C,Kentucky,SEC,24,31.9,4.1,6.9,4.1,6.9,0,0,2.3,4.3,2.7,6.8,9.5,1.6,2.1,4.4,1.9,2.6,10.5,Kentucky2013,22,Kentucky,SEC,21-12,7.8,4.2,12,2013,Nerlens Noel,1,Nerlens Noel,C,82,215,Nerlens Noel
46,18,2012,1,1,PF/C,Kentucky,Anthony Davis,FR,2011-12,F,Kentucky,SEC,40,32,5.3,8.4,5.2,7.9,0.1,0.5,3.6,5.1,3,7.4,10.4,1.3,1.4,4.7,1,2,14.2,Kentucky2012,2,Kentucky,SEC,38-2,11.9,8.2,20.1,2012,Anthony Davis,1,Anthony Davis,PF,82,200,Anthony Davis
52,98,2012,1,7,SF,North Carolina,Harrison Barnes,SO,2011-12,F,North Carolina,ACC,38,29.2,6,13.7,4.7,10.1,1.3,3.6,3.7,5.1,1.9,3.3,5.2,1.1,1.1,0.3,1.9,1.8,17.1,North Carolina2012,5,North Carolina,ACC,32-6,13.7,3.4,17.1,2012,Harrison Barnes,1,Harrison Barnes,SF,80,209,Harrison Barnes
142,15,2014,1,1,SF/SG,Kansas,Andrew Wiggins,FR,2013-14,G,Kansas,Big 12,35,32.8,5.4,12.1,4.2,8.5,1.2,3.6,5,6.5,2.2,3.7,5.9,1.5,1.2,1,2.3,2.7,17.1,Kansas2014,7,Kansas,Big 12,25-10,11,4.8,15.8,2014,Andrew Wiggins,1,Andrew Wiggins,SF,79,205,Andrew Wiggins
190,109,2015,1,3,C,Duke,Jahlil Okafor,FR,2014-15,C,Duke,ACC,38,30.1,7.3,11.1,7.3,11.1,0,0,2.6,5.1,3.5,4.9,8.5,1.3,0.8,1.4,2.5,2.1,17.3,Duke2015,2,Duke,ACC,34-4,16.4,6,22.4,2015,Jahlil Okafor,1,Jahlil Okafor,C,82,265,Jahlil Okafor
234,34,2016,1,1,PF/PG,LSU,Ben Simmons,FR,2015-16,F,Louisiana,SEC,33,34.9,6.5,11.7,6.5,11.6,0,0.1,6,9,3.1,8.6,11.8,4.8,2,0.8,3.4,2.8,19.2,LSU2016,81,LSU,SEC,19-14,7.1,-1.3,5.8,2016,Ben Simmons,1,Ben Simmons,PF,81,225,Ben Simmons
297,189,2017,1,20,PF/C,Duke,Harry Giles,FR,2016-17,C,Duke,ACC,26,11.5,1.7,3,1.7,3,0,0,0.5,0.9,1.6,2.3,3.8,0.3,0.3,0.7,0.7,2.2,3.9,Duke2017,7,Duke,ACC,28-9,11.8,5.9,17.7,2017,Harry Giles,1,Harry Giles,PF,82,230,Harry Giles
184,297,2014,2,56,SG/SF,Iowa,Devyn Marble,SR,2013-14,G,Iowa,Big Ten,33,30.2,5.5,13.2,4,8.7,1.6,4.5,4.3,6,0.8,2.4,3.2,3.6,1.8,0.2,1.7,1.9,17,Iowa2014,18,Iowa,Big Ten,20-13,12.4,1.7,14.1,2014,,UR,,,78,200,Devyn Marble
168,299,2014,2,34,SF,Wichita State,Cleanthony Early,SO,2013-14,F,Wichita St. ,MVC,36,27.4,5.2,10.7,3.4,5.8,1.8,4.9,4.2,5,1.3,4.6,5.9,0.8,0.8,0.8,1.9,2.3,16.4,Wichita State2014,14,Wichita State,MVC,35-1,5.4,9.2,14.6,2014,,UR,,,79,220,Cleanthony Early
71,305,2013,1,2,SG/PG,Indiana,Victor Oladipo,JR,2012-13,G,Indiana,Big Ten,36,28.4,5.1,8.4,4.2,6.6,0.8,1.9,2.7,3.6,2.6,3.7,6.3,2.1,2.2,0.8,2.3,2.5,13.6,Indiana2013,3,Indiana,Big Ten,29-7,13.8,6.4,20.2,2013,,UR,,,77,190,Victor Oladipo
85,313,2013,2,41,SG,San Diego State,Jamaal Franklin,JR,2012-13,G,San Diego State,MWC,32,33.1,5.2,12.5,3.9,7.9,1.3,4.6,5.3,6.8,1.8,7.8,9.5,3.3,1.6,0.8,3.4,2.6,16.9,San Diego State2013,34,San Diego State,MW,23-11,4.8,6,10.8,2013,,UR,,,77,190,Jamaal Franklin
74,304,2013,1,13,C,Gonzaga,Kelly Olynyk,JR,2012-13,F,Gonzaga,WCC,32,26.4,6.7,10.7,6.4,9.8,0.3,0.9,4.1,5.3,2.4,4.9,7.3,1.7,0.7,1.1,2.4,2.3,17.8,Gonzaga2013,7,Gonzaga,WCC,32-3,10.7,5.6,16.4,2013,,UR,,,82,215,Kelly Olynyk
80,300,2013,1,26,SG/SF,Colorado,Andre Roberson,JR,2012-13,F,Colorado,Pac-12,31,33.4,4.3,8.9,3.6,7,0.6,1.9,1.7,3.2,3,8.2,11.2,1.4,2.2,1.3,2.4,2.5,10.9,Colorado2013,68,Colorado,Pac-12,21-12,2.5,4.6,7.1,2013,,UR,,,78,190,Andre Roberson
72,309,2013,1,5,C,Maryland,Alex Len,SO,2012-13,C,Maryland,ACC,38,26.4,4.6,8.5,4.5,8.3,0,0.2,2.8,4,2.9,5,7.8,1,0.2,2.1,1.6,2.7,11.9,Maryland2013,52,Maryland,ACC,25-13,4.3,3.9,8.1,2013,,UR,,,85,225,Alex Len
182,295,2014,2,50,C,Green Bay,Alec Brown,SR,2013-14,F,Green Bay,Horizon,30,30.3,5.5,11.6,4.1,8.2,1.4,3.3,2.9,4,2.1,3.6,5.7,1,0.5,3.1,2.2,2.2,15.3,Green Bay2014,79,Green Bay,Horizon,24-7,1.8,4.2,6,2014,,UR,,,84,205,Alec Brown
