Rk,Player,Class,Season,Pos,School,Conf,G,MP,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
65,Taveion Hollingsworth\taveion-hollingsworth-1,FR,2017-18,G,Western Kentucky,CUSA,38,1312,34.5,4.5,9.3,3.3,6.2,1.2,3.1,3.2,4,0.8,2.6,3.4,1.9,1,0.1,1.8,2,13.3
66,Glenn Robinson\glenn-robinson-2,FR,2012-13,F,Michigan,Big Ten,39,1312,33.6,4.3,7.5,3.7,5.7,0.6,1.8,1.8,2.7,2.1,3.3,5.4,1.1,1,0.3,0.8,1.1,11
67,Frank Kaminsky\frank-kaminsky-1,SR,2014-15,C,Wisconsin,Big Ten,39,1311,33.6,6.8,12.5,5.8,9.9,1.1,2.6,4,5.1,1.5,6.7,8.2,2.6,0.8,1.5,1.6,1.7,18.8
68,Shane Larkin\shane-larkin-1,SO,2012-13,G,Miami (FL),ACC,36,1311,36.4,5.1,10.6,3.2,5.9,1.9,4.7,2.4,3.1,0.5,3.4,3.8,4.6,2,0.1,2.3,1.6,14.5
69,Buddy Hield\buddy-hield-1,SR,2015-16,G,Oklahoma,Big 12,37,1309,35.4,8.1,16.2,4.2,7.5,4,8.7,4.8,5.4,1.2,4.5,5.7,2,1.1,0.5,3.1,2.1,25
70,Ben Lammers\ben-lammers-1,JR,2016-17,C,Georgia Tech,ACC,37,1309,35.4,5.8,11.2,5.8,11.2,0,0.1,2.6,3.6,3,6.2,9.2,2.1,1.2,3.4,1.7,2.3,14.2
71,Deshaun Thomas\deshaun-thomas-1,JR,2012-13,F,Ohio State,Big Ten,37,1309,35.4,7,15.8,5.1,10.1,1.9,5.6,3.8,4.6,1.7,4.2,5.9,1.3,0.5,0.3,1.4,1.5,19.8
72,Travis Trice\travis-trice-1,SR,2014-15,G,Michigan State,Big Ten,39,1309,33.6,5,12.6,2.7,6.3,2.3,6.3,3,4.2,0.5,2.7,3.2,5.1,1,0.2,1.8,1.8,15.3
73,Tony Carr\tony-carr-1,SO,2017-18,G,Penn State,Big Ten,37,1308,35.4,6.6,16.2,4.2,10.7,2.4,5.5,4,5,0.9,4.1,4.9,5,0.8,0.3,2.3,1.8,19.6
74,Bryce Alford\bryce-alford-1,SO,2014-15,G,UCLA,Pac-12,36,1307,36.3,4.8,12,2.2,5.4,2.6,6.6,3.3,3.9,0.2,3,3.2,4.9,0.9,0,2.5,1.5,15.4
75,Jerrelle Benimon\jerrelle-benimon-1,SR,2013-14,F,Towson,CAA,36,1307,36.3,6.3,11.8,5.9,10.6,0.4,1.2,5.8,8.1,2.3,8.9,11.2,3.6,0.7,1.2,3.4,2.9,18.7
76,Jahii Carson\jahii-carson-1,FR,2012-13,G,Arizona State,Pac-12,35,1303,37.2,6.6,13.9,5.7,11,0.9,2.9,4.3,5.9,0.5,3.2,3.7,5.1,1.2,0.1,3.5,2.5,18.5
77,Aaron Harrison\aaron-harrison-1,FR,2013-14,G,Kentucky,SEC,40,1303,32.6,4.4,10.3,2.8,5.9,1.6,4.4,3.5,4.4,0.6,2.3,3,1.9,1.1,0.3,1.6,2.1,13.7
78,Tyshawn Taylor\tyshawn-taylor-1,SR,2011-12,G,Kansas,Big 12,39,1303,33.4,5.8,12.2,4.3,8.3,1.5,3.9,3.5,5.1,0.2,2.1,2.3,4.8,1.3,0.2,3.5,2,16.6
79,Marquis Teague\marquis-teague-1,FR,2011-12,G,Kentucky,SEC,40,1303,32.6,3.6,8.8,3,6.8,0.7,2,2.1,3,0.4,2.1,2.5,4.8,0.9,0.3,2.7,2.3,10
80,Travis Bader\travis-bader-1,SO,2011-12,G,Oakland,Summit,36,1302,36.2,5.2,12.3,1.8,3.5,3.4,8.7,2,2.6,0.6,2.6,3.2,1.2,0.9,0.1,1,2.6,15.9
81,D.J. Gay\dj-gay-1,SR,2010-11,G,San Diego State,MWC,37,1302,35.2,3.7,9.9,1.7,4.4,2,5.5,1.8,2.6,0.3,1.9,2.2,3.1,1.1,0.1,1.3,0.8,11.1
82,Andrew Goudelock\andrew-goudelock-1,SR,2010-11,G,College of Charleston,Southern,37,1302,35.2,8.6,18.9,5.1,10.2,3.5,8.7,3,3.6,0.7,3.2,3.9,4.2,0.9,0.2,3.2,1.8,23.7
83,Preston Medlin\preston-medlin-1,SO,2011-12,G,Utah State,WAC,37,1302,35.2,5.5,11.1,2.9,5.1,2.6,6,3.4,4.2,0.1,4.3,4.4,3.4,0.7,0.1,2,1.5,17
84,Frank Mason\frank-mason-1,SR,2016-17,G,Kansas,Big 12,36,1301,36.1,6.7,13.7,4.4,8.8,2.3,4.8,5.3,6.6,0.6,3.6,4.2,5.2,1.3,0.1,2.4,2,20.9
85,Emmett Naar\emmett-naar-1,SO,2015-16,G,Saint Mary's (CA),WCC,35,1301,37.2,4.9,10,3.3,6.2,1.6,3.8,2.7,3.1,0.6,3,3.7,6.3,1.3,0.1,2.3,1.3,14
86,Malcolm Delaney\malcolm-delaney-1,SR,2010-11,G,Virginia Tech,ACC,34,1300,38.2,5.5,13,3,7,2.5,6.1,5.3,6.3,0.8,2.7,3.5,4,1.6,0.2,3,2.6,18.7
87,Steve Vasturia\steve-vasturia-1,JR,2015-16,G,Notre Dame,ACC,36,1300,36.1,4.1,9.4,2.8,5.8,1.3,3.6,1.9,2.3,0.6,1.9,2.6,3.2,0.8,0.2,1.9,2.2,11.4
88,LaDontae Henton\ladontae-henton-1,JR,2013-14,F,Providence,Big East,35,1299,37.1,4.8,10.8,3.4,6.9,1.4,3.8,3,4.1,2.5,5.4,7.9,1.7,1.3,0.6,1.6,2.4,14
89,David Walker\david-walker-3,JR,2014-15,G,Northeastern,CAA,35,1298,37.1,4.1,9.3,2.1,4.3,2,5,3.3,3.8,0.3,3.2,3.5,3.6,1.2,0.3,2.2,0.8,13.4
90,Jordan Taylor\jordan-taylor-1,SR,2011-12,G,Wisconsin,Big Ten,36,1297,36,4.6,11.5,2.8,6.6,1.8,4.9,3.8,4.8,0.9,2.9,3.8,4.1,1,0,1.6,2,14.8
91,James Young\james-young-1,FR,2013-14,G,Kentucky,SEC,40,1296,32.4,4.6,11.3,2.5,5.4,2.1,5.9,3.1,4.4,1,3.3,4.3,1.7,0.8,0.2,1.9,2.1,14.3
92,Jabari Brown\jabari-brown-1,JR,2013-14,G,Missouri,SEC,35,1295,37,5.8,12.4,3.5,6.9,2.3,5.6,6.1,7.6,0.5,3.9,4.4,1.9,0.6,0.1,2.3,1.6,19.9
93,Denzel Valentine\denzel-valentine-1,JR,2014-15,G,Michigan State,Big Ten,39,1295,33.2,5.1,11.4,2.4,5.1,2.6,6.3,1.8,2.2,1.2,5.1,6.3,4.3,0.9,0.2,2.4,2.2,14.5
94,Talor Battle\talor-battle-1,SR,2010-11,G,Penn State,Big Ten,34,1294,38.1,6.6,15.6,3.5,7.2,3.1,8.4,3.9,5.1,0.5,3.9,4.4,2.9,0.8,0.1,2,1.5,20.2
95,R.J. Hunter\rj-hunter-1,JR,2014-15,G,Georgia State,Sun Belt,35,1294,37,5.8,14.7,3.5,7.2,2.3,7.5,5.8,6.6,0.8,3.9,4.7,3.6,2.1,1,2.2,2.4,19.7
96,Aaseem Dixon\aaseem-dixon-1,SR,2014-15,G,Northern Arizona,Big Sky,37,1293,34.9,4.3,11.8,1.9,5.6,2.4,6.2,2,2.6,0.8,2.6,3.4,2.3,0.7,0,1.5,1.7,12.9
97,Joe Rahon\joe-rahon-1,JR,2015-16,G,Saint Mary's (CA),WCC,35,1293,36.9,4.2,9.5,2.9,6,1.3,3.5,1.1,1.9,0.3,4.2,4.5,5.4,1.3,0.4,1.8,1.9,10.7
98,Rodney Glasgow\rodney-glasgow-1,SR,2013-14,G,Virginia Military Institute,Big South,35,1291,36.9,6.6,13.8,4.2,7.6,2.5,6.2,3.1,3.6,0.9,3.1,4,5.9,1.3,0,1.8,1.7,18.9
99,Chaz Williams\chaz-williams-1,SO,2011-12,G,Massachusetts,A-10,37,1291,34.9,5.3,12.9,3.6,8.9,1.7,4,4.7,6,1,3.4,4.4,6.2,2.2,0.2,3.4,2.8,16.9
100,Jordan Caroline\jordan-caroline-1,JR,2017-18,G,Nevada,MWC,37,1290,34.9,6,12.6,5,9.6,1,3,4.8,6.8,2.6,6,8.6,2.2,0.7,0.2,1.9,2.4,17.7
Rk,Player,Class,Season,Pos,School,Conf,G,MP,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
101,Lamar Stevens\lamar-stevens-1,SO,2017-18,F,Penn State,Big Ten,39,1290,33.1,5.9,12.7,5.2,10.3,0.8,2.4,2.9,4.1,1.4,4.6,5.9,1.9,0.6,1.1,2.2,2.4,15.5
102,Rob Poole\rob-poole-1,JR,2013-14,G,Siena,MAAC,38,1289,33.9,4.7,11.3,2.8,6.1,1.9,5.2,3.4,4.5,1.3,3.7,5,1.6,1.1,0.1,1.7,2.2,14.6
103,Lagerald Vick\lagerald-vick-1,JR,2017-18,G,Kansas,Big 12,39,1289,33.1,4.8,9.8,3.3,5.8,1.5,4.1,0.9,1.4,0.9,3.8,4.8,2.1,0.9,0.3,1.6,1.9,12.1
104,Tyler Ulis\tyler-ulis-1,SO,2015-16,G,Kentucky,SEC,35,1288,36.8,5.5,12.6,3.9,8.1,1.6,4.6,4.8,5.6,0.5,2.5,3,7,1.5,0.1,2,1.8,17.3
105,Kevin Larsen\kevin-larsen-1,SR,2015-16,F,George Washington,A-10,38,1287,33.9,4.3,8.7,3.9,7.8,0.4,0.9,3.1,4.3,2.8,5.4,8.2,2.6,0.9,0.7,1.8,2.2,12.3
106,Frantz Massenat\frank-massenat-1,SO,2011-12,G,Drexel,CAA,36,1287,35.8,4.1,9.5,2.6,6.2,1.5,3.3,4.1,5.2,0.5,2.6,3.1,4.8,0.9,0.4,2.1,2.3,13.7
107,Kay Felder\kahlil-felder-1,JR,2015-16,G,Oakland,Horizon,35,1286,36.7,7.7,17.5,5.5,11.4,2.2,6.1,6.8,8.1,0.7,3.5,4.3,9.3,2,0.2,3.4,3,24.4
108,Kyle Singler\kyle-singler-1,SR,2010-11,F,Duke,ACC,37,1286,34.8,5.9,13.8,4.2,8.5,1.7,5.2,3.4,4.2,2.4,4.5,6.8,1.6,0.9,0.3,1.9,2.6,16.9
109,Mikal Bridges\mikal-bridges-1,JR,2017-18,G,Villanova,Big East,40,1285,32.1,6.1,11.9,3.5,5.9,2.6,6,2.9,3.4,1.4,4,5.3,1.9,1.5,1.1,1.4,2.2,17.7
110,Barry Brown\barry-brown-1,JR,2017-18,G,Kansas State,Big 12,37,1285,34.7,5.5,12.2,4.4,8.7,1.1,3.6,3.8,5,0.6,2.5,3.1,3.2,1.8,0.1,2.6,2.2,15.9
111,Norris Cole\norris-cole-1,SR,2010-11,G,Cleveland State,Horizon,36,1285,35.7,7,15.9,5.6,11.8,1.4,4.1,6.3,7.4,0.8,5.1,5.8,5.3,2.2,0.1,2.7,2.4,21.7
112,Andre Spight\andre-spight-1,SR,2017-18,G,Northern Colorado,Big Sky,38,1285,33.8,7.7,17.4,4.3,9,3.4,8.4,3.7,4.7,0.5,3.4,3.9,3.7,1.2,0.3,2.9,1.9,22.5
113,C.J. Fair\cj-fair-1,SR,2013-14,F,Syracuse,ACC,34,1284,37.8,6.4,14.9,5.7,12.3,0.7,2.6,3,4.2,1.7,4.7,6.4,1.3,1.3,0.8,2.5,2.1,16.5
114,Reggie Hamilton\reggie-hamilton-1,SR,2011-12,G,Oakland,Summit,36,1284,35.7,7.8,17.5,4.5,9.7,3.3,7.8,7.3,8.3,0.7,3.1,3.8,5.1,2,0.1,3.7,2.8,26.2
115,Marvelle Harris\marvelle-harris-2,SR,2015-16,G,Fresno State,MWC,35,1284,36.7,6.9,16.8,5,11,1.9,5.8,5.1,6.8,0.5,4.1,4.7,4.5,2.2,0.6,2.2,2.9,20.7
116,Cody Martin\cody-martin-1,JR,2017-18,F,Nevada,MWC,36,1284,35.7,5.4,10.4,4.9,9,0.4,1.4,2.9,4.1,1.8,4.4,6.3,4.7,1.7,1.5,2,2.4,14
117,D.J. Fenner\dj-fenner-1,JR,2015-16,G,Nevada,MWC,38,1283,33.8,4.6,12.5,3.2,7.9,1.4,4.7,3.1,3.6,0.7,3.9,4.6,1.9,1.1,0.5,1.7,2.8,13.7
118,Alex Robinson\alex-robinson-2,SO,2016-17,G,Texas Christian,Big 12,39,1283,32.9,4.2,10,3.2,7,1,3,1.8,2.9,0.5,2.7,3.1,5.8,1.5,0.5,2.7,1.9,11.2
