player_id,player_id,year,round,pick,Player,Class,Pos,School,Conf_x,G,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team_Rk,W,L,BPI Off,BPI Def,BPI,Player_Rank,Outside100,Height,Weight
22,22,2014,1,24,Shabazz Napier,SR,G,Connecticut,AAC,40,35.1,5.3,12.4,3.2,7,2.2,5.4,5.2,6,1,4.9,5.9,4.9,1.8,0.3,2.9,2.1,18,25,31,8,4.3,8.5,12.7,0,1,71,165
23,23,2015,1,20,Delon Wright,SR,G,Utah,Pac-12,35,33.3,4.7,9.3,4,7.2,0.7,2.1,4.4,5.2,1,4,4.9,5.1,2.1,1,1.9,1.4,14.5,10,26,9,5,11.3,16.2,0,1,76,175
24,24,2017,1,9,Dennis Smith Jr.,FR,G,NC State,ACC,32,34.8,6,13.1,4.3,8.3,1.7,4.8,4.5,6.3,0.8,3.8,4.6,6.2,1.9,0.4,3.4,2.1,18.1,87,15,17,5.6,-0.8,4.8,0,1,74,190
25,25,2017,1,29,Derrick White,SR,G,Colorado,Pac-12,34,32.8,6,11.9,4.4,7.6,1.7,4.2,4.4,5.4,1,3.1,4.1,4.4,1.2,1.4,2.4,2.1,18.1,92,19,15,3.5,0.9,4.4,0,1,72,164
26,26,2017,2,45,Dillon Brooks,SO,F,Oregon,Pac-12,38,32.8,6.1,12.9,4.8,9.2,1.3,3.7,3.3,4.1,2,3.4,5.4,3.1,1.1,0.4,2.3,2.9,16.7,10,33,6,10.7,6.8,17.4,0,1,79,215
27,27,2016,1,11,Domantas Sabonis,SO,F,Gonzaga,WCC,36,31.9,6.6,10.9,6.5,10.5,0.1,0.4,4.2,5.4,3.1,8.8,11.8,1.8,0.6,0.9,2.6,3.2,17.6,26,28,8,6.4,6.1,12.5,0,1,82,230
28,28,2014,1,11,Doug McDermott,SR,F,Creighton,Big East,35,33.7,9.4,17.9,6.7,11.8,2.7,6.1,5.1,5.9,1.6,5.3,7,1.6,0.2,0.1,1.8,1.9,26.7,13,27,8,11.4,3.3,14.8,0,1,79,195
29,29,2014,1,29,Josh Huestis,SR,F,Stanford,Pac-12,36,35.2,4.3,9.6,3.6,7.5,0.7,2.1,1.8,2.8,2.5,5.7,8.2,1.2,0.6,1.9,1.2,2.1,11.2,61,23,13,4.5,3,7.4,0,1,79,200
30,30,2014,1,10,Elfrid Payton,JR,G,Louisiana,Sun Belt,35,35.9,6.8,13.3,6.4,11.8,0.4,1.5,5.3,8.6,2.3,3.7,6,5.9,2.3,0.6,3.6,2.4,19.2,270,20,11,1.1,-6.3,-5.2,0,1,73,170
31,31,2013,2,46,Erick Green,SR,G,Virginia Tech,ACC,32,36.4,8.2,17.2,6.3,12.3,1.9,4.9,6.8,8.3,0.5,3.5,4,3.8,1.3,0.2,2.2,1.4,25,177,13,19,4.1,-4.7,-0.6,0,1,75,170
32,32,2015,1,9,Frank Kaminsky,SR,C,Wisconsin,Big Ten,39,33.6,6.8,12.5,5.8,9.9,1.1,2.6,4,5.1,1.5,6.7,8.2,2.6,0.8,1.5,1.6,1.7,18.8,3,36,3,10.4,11.3,21.7,0,1,82,260
33,33,2013,1,21,Gorgui Dieng,SO,C,Louisville,Big East,40,32.8,3.6,6.9,3.6,6.9,0,0.1,1.8,2.7,3.5,5.6,9.1,1.1,1.2,3.2,2,3.3,9.1,2,35,5,10.7,10.3,21,0,1,81,220
34,34,2013,2,34,Isaiah Canaan,SR,G,Murray State,OVC,31,36.5,6.9,16.1,3.9,7.9,3,8.2,4.9,6,0.6,2.9,3.5,4.3,1.5,0.1,3.2,1.9,21.8,111,21,10,2.9,0.1,3,0,1,71,175
35,35,2011,2,60,Isaiah Thomas,JR,G,Washington,Pac-10,35,31.9,5.4,12.1,3.7,7.1,1.7,4.9,4.3,6,0.7,2.8,3.5,6.1,1.3,0.1,3,2.1,16.8,17,24,11,13.7,-0.2,13.5,0,1,69,170
36,36,2016,1,9,Jakob Poeltl,SO,F,Utah,Pac-12,36,30.4,6.3,9.8,6.3,9.8,0,0,4.6,6.6,2.8,6.3,9.1,1.9,0.6,1.6,2.1,2.3,17.2,40,27,9,6.3,3.9,10.1,0,1,84,230
37,37,2016,1,7,Jamal Murray,FR,G,Kentucky,SEC,36,35.2,6.8,14.9,3.6,7.3,3.1,7.7,3.3,4.2,1.5,3.7,5.2,2.2,1,0.3,2.3,2.1,20,8,27,9,9.8,6.4,16.2,0,1,76,193
38,38,2013,2,50,James Ennis,SR,G,Long Beach State,Big West,33,33.1,5.5,11.2,3.8,6.6,1.7,4.7,3.8,4.6,2,4.7,6.7,2.1,1.8,1.3,3,2.3,16.5,203,19,14,1.3,-2.9,-1.6,0,1,79,200
39,39,2012,1,24,Jared Cunningham,JR,G,Oregon State,Pac-12,36,34.6,5.5,12.2,4.1,8.1,1.4,4.1,5.5,7.5,1,2.8,3.8,2.8,2.5,0.4,2.8,2.4,17.9,100,21,15,9.3,-4.8,4.5,0,1,75,170
40,40,2014,2,35,Jarnell Stokes,JR,F,Tennessee,SEC,37,32.4,5.4,10.1,5.4,10.1,0,0,4.3,6.2,4.2,6.4,10.6,2,0.7,0.9,2.1,2,15.1,15,24,13,5.1,9.4,14.5,0,1,80,250
41,41,2016,2,60,Tyrone Wallace,JR,G,California,Pac-12,33,34.9,6.3,14.8,5.5,12.2,0.8,2.7,3.6,6,0.9,6.2,7.1,4,1.3,0.3,2.8,2.8,17.1,30,23,11,5.1,6.7,11.8,0,1,76,180
42,42,2012,1,30,Festus Ezeli,SR,C,Vanderbilt,SEC,26,23.2,3.4,6.3,3.4,6.3,0,0,3.2,5.3,2.4,3.5,5.9,0.3,0.4,2,2.2,3.2,10.1,18,25,11,8.2,4.4,12.6,0,1,83,255
