,Rk,Player,Class,Season,Pos,School,Conf,G,MP,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1197,1196,Evan Gordon\evan-gordon-1,JR,2012-13,G,Arizona State,Pac-12,35,1128,32.2,3.3,8.5,1.6,3.5,1.7,5,1.7,2.3,0.6,2.3,2.9,2.2,1.3,0.2,1.3,1.7,10.1
1194,1193,Jerrold Brooks\jerrold-brooks-1,JR,2012-13,G,Southern Mississippi,CUSA,37,1128,30.5,4,9.6,2,4.1,2,5.5,0.9,1.2,0.3,2.2,2.5,2.3,1.4,0,1.3,1.4,10.9
231,230,Mason Plumlee\mason-plumlee-1,SR,2012-13,F,Duke,ACC,36,1248,34.7,6.1,10.3,6.1,10.3,0,0,4.8,7.1,2.7,7.2,9.9,1.9,1,1.4,2.9,2.6,17.1
1015,1014,Durand Scott\durand-scott-1,SR,2012-13,G,Miami (FL),ACC,33,1142,34.6,4.7,10.4,3.6,7.3,1.1,3.1,2.6,3.4,0.9,3,4,2.6,1.5,0.1,2,2.3,13.1
67,68,Shane Larkin\shane-larkin-1,SO,2012-13,G,Miami (FL),ACC,36,1311,36.4,5.1,10.6,3.2,5.9,1.9,4.7,2.4,3.1,0.5,3.4,3.8,4.6,2,0.1,2.3,1.6,14.5
70,71,Deshaun Thomas\deshaun-thomas-1,JR,2012-13,F,Ohio State,Big Ten,37,1309,35.4,7,15.8,5.1,10.1,1.9,5.6,3.8,4.6,1.7,4.2,5.9,1.3,0.5,0.3,1.4,1.5,19.8
1043,1042,Joe Harris\joe-harris--1,JR,2012-13,G,Virginia,ACC,35,1139,32.5,5.5,11.7,3.3,6.5,2.2,5.2,3.2,4.3,0.9,3.2,4,2.2,0.9,0.5,2,2.3,16.3
1479,1478,Sam Mills\sam-mills-1,JR,2012-13,G,La Salle,A-10,33,1108,33.6,2.8,7,1.3,3,1.5,4,0.8,0.9,0.6,2,2.6,2.2,1,0.3,1.2,1.6,8
757,756,Erick Green\erick-green-1,SR,2012-13,G,Virginia Tech,ACC,32,1166,36.4,8.2,17.2,6.3,12.3,1.9,4.9,6.8,8.3,0.5,3.5,4,3.8,1.3,0.2,2.2,1.4,25
1055,1054,Elston Turner\elston-turner-2,SR,2012-13,G,Texas A&M,SEC,32,1139,35.6,6.2,14.6,3.9,8.2,2.3,6.4,2.8,3.3,0.4,2.6,3,2.3,1,0.2,1.8,1.2,17.5
1464,1463,Grant Gibbs\grant-gibbs-1,SR,2012-13,G,Creighton,MVC,36,1109,30.8,3.1,5.9,2.6,4.4,0.6,1.5,1.6,2.2,0.6,3.5,4.1,5.8,0.9,0.2,2.2,2.5,8.5
1056,1055,Jordan Dykstra\jordan-dykstra-1,JR,2012-13,F,South Dakota State,Summit,35,1138,32.5,4.4,9.8,2.8,6.1,1.6,3.7,2.1,2.7,1.9,6,7.9,1.4,0.5,0.5,1.9,2.7,12.5
133,133,Warren Niles\warren-niles-1,SR,2012-13,G,Oral Roberts,Southland,35,1277,36.5,6.3,14.5,3.6,7.5,2.7,6.9,3.5,4.4,0.7,3.5,4.1,1.6,1.2,0.2,2,2,18.9
829,828,Adrian Powell\adrian-powell-1,SR,2012-13,F,North Carolina A&T,MEAC,37,1159,31.3,4.4,11,2.7,6.4,1.7,4.6,1.9,3.2,1.2,3.8,4.9,1.9,1.8,0.3,2.1,1.9,12.3
1505,1504,Bernard Thompson\bernard-thompson-2,SO,2012-13,G,Florida Gulf Coast,A-Sun,37,1107,29.9,5.1,11,3.7,7.1,1.5,3.8,2.6,3.9,1.3,3.1,4.4,1.7,2.8,0.1,2.2,2.5,14.3
500,499,Dylon Cormier\dylon-cormier-1,JR,2012-13,G,Loyola (MD),MAAC,34,1195,35.1,5.3,12.8,4.4,9.7,0.8,3,5.1,6.8,2.2,2.4,4.6,2.5,1.8,0.3,1.8,1.9,16.4
800,799,Jason Calliste\jason-calliste-1,JR,2012-13,G,Detroit Mercy,Horizon,33,1161,35.2,4,10.4,1.8,4.3,2.2,6.1,4.1,4.9,0.6,2.5,3.1,3.3,1.3,0.2,2.2,1.9,14.4
6,7,Michael Carter-Williams\michael-carter-williams-1,SO,2012-13,G,Syracuse,Big East,40,1409,35.2,3.9,9.9,3,6.9,0.9,3,3.2,4.7,1.3,3.7,5,7.3,2.7,0.5,3.5,2.3,11.9
1554,1553,Lee Skinner\lee-skinner-1,SO,2012-13,F,Wofford,Southern,32,1104,34.5,3.7,8.3,3.5,6.9,0.2,1.4,2.8,3.9,2.4,5,7.4,2.2,1.4,0.3,2.3,2.2,10.3
18,19,Trey Burke\trey-burke-1,SO,2012-13,G,Michigan,Big Ten,39,1378,35.3,6.6,14.4,4.7,9.3,1.9,5.1,3.4,4.3,0.5,2.6,3.2,6.7,1.6,0.5,2.2,1.9,18.6
1546,1545,Will Clyburn\will-clyburn-1,SR,2012-13,G,Iowa State,Big 12,35,1104,31.5,4.7,10.7,3.6,6.9,1.2,3.8,4.3,5.5,2,4.8,6.8,2.1,0.9,0.4,2.6,1.5,14.9
1536,1535,Michael Murray\michael-murray-1,JR,2012-13,F,Coppin State,MEAC,31,1105,35.6,4.8,11.4,4.2,8.4,0.6,3,2.2,3.5,3.2,5.7,8.9,1.3,1.1,0.4,2,2.7,12.4
501,500,Allen Crabbe\allen-crabbe-1,JR,2012-13,G,University of California,Pac-12,33,1195,36.2,6.5,14.2,4.6,8.6,1.9,5.6,3.4,4.2,1,5.1,6.1,2.6,1.1,0.7,2.5,2.1,18.4
1533,1532,Bryson Johnson\bryson-johnson-1,SR,2012-13,G,Bucknell,Patriot,34,1105,32.5,3.2,8,1,2.6,2.1,5.4,2.6,3.1,0.2,2.4,2.7,2.3,0.4,0.1,1.1,1.6,11.1
26,27,Brandon Triche\brandon-triche-1,SR,2012-13,G,Syracuse,Big East,40,1348,33.7,4.6,11.1,3.4,6.9,1.2,4.3,3.1,4.2,1.4,2,3.4,3.6,1.3,0.1,2.7,2.2,13.6
1509,1508,Damen Bell-Holter\damen-bell-holter-1,SR,2012-13,F,Oral Roberts,Southland,35,1106,31.6,5.4,10.6,5.3,10.1,0.1,0.5,4.5,6,3.3,6,9.4,1.2,0.5,1.3,2,2.9,15.5
1531,1530,Richard Howell\richard-howell-1,SR,2012-13,F,North Carolina State,ACC,35,1105,31.6,5.2,9.2,5.2,9.2,0,0,2.3,3.5,3.7,7.1,10.9,1.7,1,0.9,1.6,3,12.7
40,41,Tim Hardaway\tim-hardaway-jr-1,JR,2012-13,G,Michigan,Big Ten,38,1324,34.8,5.3,12.1,3.4,7,1.9,5.1,2,2.9,0.2,4.4,4.7,2.4,0.7,0.4,1.9,1.9,14.5
791,790,Derrious Gilmore\derrious-gilmore-1,SR,2012-13,G,Wyoming,MWC,34,1162,34.2,4,10.8,1.7,4.5,2.3,6.3,2,2.6,0.2,1.5,1.7,2.9,1.2,0.1,2.8,2.2,12.4
513,512,Evan Roquemore\evan-roguemore-1,JR,2012-13,G,Santa Clara,WCC,38,1194,31.4,3.6,8.7,2.3,4.8,1.3,3.8,3.4,4.2,0.5,2.7,3.2,5.2,1.2,0.2,2.2,2.1,12
1523,1522,Marcus Smart\marcus-smart-1,FR,2012-13,G,Oklahoma State,Big 12,33,1106,33.5,4.6,11.3,3.4,7.4,1.2,4,5.1,6.5,1.5,4.3,5.8,4.2,3,0.7,3.4,2.8,15.4
1522,1521,Ben Simons\ben-simons-1,SR,2012-13,F,Drake,MVC,32,1106,34.6,4.8,11,2.3,4.9,2.4,6.1,2.1,2.3,0.1,3.5,3.6,1.8,0.9,0.3,1.8,2.1,14.1
1023,1022,Robert Olson\robert-olson-1,SR,2012-13,G,Loyola (MD),MAAC,35,1141,32.6,4.5,11.8,2.5,5.3,2.1,6.5,1.5,2.1,1.2,3.3,4.4,2.1,1.1,0.2,1.6,2.7,12.7
140,140,Matthew Dellavedova\matthew-dellavedova-1,SR,2012-13,G,Saint Mary's (CA),WCC,35,1273,36.4,4.9,12,2.4,5.6,2.5,6.4,3.6,4.3,0.7,2.7,3.4,6.4,1.1,0.1,2.8,1.7,15.8
1369,1368,Kwame Vaughn\kwame-vaughn-1,SR,2012-13,G,Cal State Fullerton,Big West,32,1116,34.9,5.6,12.5,4,8.3,1.6,4.2,5.6,6.7,0.7,3.9,4.6,3.7,1.5,0.2,3.1,2.6,18.4
205,204,Nate Wolters\nate-wolters-1,SR,2012-13,G,South Dakota State,Summit,33,1256,38.1,7.3,15.1,5.4,10,1.9,5.1,5.7,7,1.1,4.5,5.6,5.8,1.7,0.1,2.3,1.5,22.3
1360,1359,Matt Hunter\matt-hunter-1,JR,2012-13,G,Central Connecticut State,NEC,30,1116,37.2,5.6,14.2,4.3,10.2,1.3,4,3.3,4.4,1.5,6.2,7.7,2.6,2.6,0.9,3.4,2.6,15.7
1380,1379,Dorian Green\dorian-green-1,SR,2012-13,G,Colorado State,MWC,34,1115,32.8,4,9.6,2.4,5.2,1.6,4.3,3.5,4.5,0.2,2.4,2.6,3.6,0.8,0.1,1.8,1.7,13
1097,1096,C.J. Leslie\cj-leslie-1,JR,2012-13,F,North Carolina State,ACC,35,1135,32.4,5.5,10.6,5.4,10.4,0.1,0.2,4.1,6.6,1.9,5.5,7.4,1.5,1,1.2,3,2.5,15.1
1347,1346,LeAntwan Luckett\leantwan-luckett-1,SO,2012-13,F,Alcorn State,SWAC,34,1117,32.9,4.6,12.4,4.3,10.3,0.4,2.1,3.7,5.7,1.4,2.6,4,2.4,1,0.2,2.9,2.9,13.4
880,879,Solomon Hill\solomon-hill-1,SR,2012-13,F,Arizona,Pac-12,35,1154,33,4.5,9.9,2.9,5.7,1.6,4.2,2.7,3.5,1.7,3.6,5.3,2.7,1.1,0.6,2.2,2.2,13.4
1341,1340,Jordon Crawford\jordon-crawford-1,SR,2012-13,G,Bowling Green State,MAC,32,1117,34.9,5.6,14.3,3.9,9,1.7,5.3,2,2.7,0.6,2,2.6,4.3,1.7,0,3.6,2.2,15
220,219,Pierre Jackson\pierre-jackson-1,SR,2012-13,G,Baylor,Big 12,36,1252,34.8,6,14.1,3.6,7.3,2.4,6.8,5.3,6.7,0.7,3.1,3.8,7.1,1.5,0,3.4,2.2,19.8
221,220,Travis Releford\travis-releford-1,SR,2012-13,G,Kansas,Big 12,37,1252,33.8,4.2,7.3,3.1,4.8,1.1,2.5,2.4,3.1,1.2,2.7,3.8,2.6,1.3,0.2,1.6,2,11.9
225,224,Josh Davis\josh-davis-6,JR,2012-13,F,Tulane,CUSA,35,1250,35.7,5.9,12,5.9,12,0,0.1,5.8,8.1,4.1,6.6,10.7,1.7,0.8,0.9,2.6,2.5,17.6
682,681,Jacob Iati\jacob-iati-1,SR,2012-13,G,Albany (NY),AEC,35,1173,33.5,3.7,8.8,1.1,2.5,2.6,6.3,2.2,2.5,0.3,1.7,2.1,1.7,0.8,0,1.3,1.7,12.2
1014,1013,Clifford Reed\cj-reed-1,SR,2012-13,G,Georgia Southern,Southern,33,1142,34.6,4.2,11.8,2.4,6.6,1.8,5.2,2.7,3.3,0.4,2.9,3.3,3.8,1.2,0,2.1,2,12.9
1062,1061,Drew Valentine\drew-valentine-1,SR,2012-13,F,Oakland,Summit,33,1138,34.5,3.7,7.2,3.2,5.4,0.5,1.8,2.3,3.6,2.2,4.3,6.5,2.2,1.7,0.1,2.2,2.8,10.2
838,837,Davon Marshall\davon-marshall-1,JR,2012-13,G,Liberty,Big South,36,1158,32.2,4.3,9.6,1.3,2.7,3,6.9,2.1,2.4,0.3,1.8,2.1,2.8,0.8,0.1,2,1.2,13.6
718,717,Kenny Boynton\kenny-boynton-1,SR,2012-13,G,Florida,SEC,37,1170,31.6,3.9,9.9,2,4,1.9,6,2.2,2.7,0.5,2.5,3,2.8,0.8,0.1,1.3,0.8,12
716,715,Gary Talton\gary-talton-1,SR,2012-13,G,Illinois-Chicago,Horizon,34,1171,34.4,3.8,10.1,2.8,6.8,1,3.4,3.7,4.3,0.7,3.3,4,4.4,1.4,0.2,2.7,1.5,12.3
1429,1428,Tahj Tate\tahj-tate-1,SO,2012-13,G,Delaware State,MEAC,32,1112,34.8,4.8,11.5,3.7,7.9,1,3.6,2.3,3.3,1.2,2,3.1,2.3,1.3,0.2,2.9,1.7,12.8
710,709,Rodney McGruder\rodney-mcgruder-1,SR,2012-13,G,Kansas State,Big 12,35,1171,33.5,5.8,13.2,4.4,8.9,1.5,4.3,2.5,3.3,2.1,3.3,5.4,2,1.3,0.3,1.7,1.5,15.6
470,469,Mike DiNunno\mike-dinunno-1,SR,2012-13,G,Eastern Kentucky,OVC,34,1200,35.3,4.8,11.4,2.1,4.5,2.7,6.9,2.6,3,0.3,1.8,2.1,4.3,1.9,0,2.7,2.4,14.8
1087,1086,Khalif Wyatt\khalif-wyatt-1,SR,2012-13,G,Temple,A-10,34,1136,33.4,6.1,14.7,3.9,7.8,2.2,7,6,7.2,0.4,2.5,2.9,4,1.7,0.2,3.1,2.2,20.5
686,685,Marc Trasolini\marc-trasolini-1,SR,2012-13,F,Santa Clara,WCC,38,1173,30.9,6.1,11,5.7,9.9,0.4,1.1,3,4.1,2.6,4.8,7.4,0.9,0.8,1.4,1.7,2.3,15.4
850,849,Derek Needham\derek-needham-1,SR,2012-13,G,Fairfield,MAAC,35,1157,33.1,5,12.6,2.8,5.7,2.2,6.8,2.4,3.1,0.6,2.8,3.4,3.1,1.4,0.1,2.7,2.8,14.6
1388,1387,Malcolm Armstead\malcolm-armstead-1,SR,2012-13,G,Wichita State,MVC,39,1114,28.6,3.8,9.6,2.2,5,1.6,4.5,1.5,1.9,0.7,3.1,3.8,4,1.9,0.1,2.3,2.3,10.6
685,684,Dylan Talley\dylan-talley-1,SR,2012-13,G,Nebraska,Big Ten,33,1173,35.5,4.9,13.1,3.3,8.6,1.5,4.5,2.4,3.3,0.8,3.9,4.8,2.5,0.9,0.2,2.2,2.2,13.7
1385,1384,Dave Sobolewski\dave-sobolewski-1,SO,2012-13,G,Northwestern,Big Ten,32,1115,34.8,3.1,8.1,1.6,3.8,1.5,4.3,2.2,3.6,0.3,2.5,2.8,4,1,0.3,1.9,3.1,9.8
1384,1383,Gabe Rogers\gabe-rogers-1,SR,2012-13,G,Northern Arizona,Big Sky,32,1115,34.8,6.3,16.2,3.3,8.1,3,8.1,2.3,2.8,0.4,1.6,2,1.8,1,0.1,2.8,1.5,17.9
533,532,Ben McLemore\ben-mclemore-1,FR,2012-13,G,Kansas,Big 12,37,1191,32.2,5.4,10.8,3.4,6.1,2,4.7,3.2,3.7,1.3,3.9,5.2,2,1,0.7,2.1,1.9,15.9
522,521,Kris Joseph\kris-joseph-1,SR,2011-12,F,Syracuse,Big East,37,1192,32.2,4.4,10.5,3.1,6.5,1.4,4,3.2,4.2,1.5,3.2,4.7,1.5,1.4,0.6,1.5,1.7,13.4
2044,2043,Kevin Dillard\kevin-dillard-1,JR,2011-12,G,Dayton,A-10,33,1079,32.7,4.3,10.5,3.2,6.9,1.2,3.6,3.5,4.2,0.3,2.4,2.7,6,1.4,0.4,2.8,2.7,13.3
1986,1985,Shane Gibson\shane-gibson-1,JR,2011-12,G,Sacred Heart,NEC,32,1082,33.8,7.9,15.5,5.2,9.2,2.7,6.3,3.5,4.1,0.8,3.9,4.7,2.2,1.5,0.3,3.2,2.8,22
709,708,Scott Machado\scott-machado-1,SR,2011-12,G,Iona,MAAC,33,1171,35.5,4.7,9.5,3.5,6.5,1.2,3,3,3.7,0.9,4,4.9,9.9,1.6,0.2,3.3,2.6,13.6
724,723,Ramone Moore\ramone-moore-1,SR,2011-12,G,Temple,A-10,32,1170,36.6,6.1,14.3,4.3,9.7,1.8,4.7,3.3,4.3,0.9,3.4,4.3,3.4,1.1,0.2,2.6,2.4,17.3
764,763,Derrick Gordon\derrick-gordon-1,FR,2011-12,G,Western Kentucky,Sun Belt,35,1165,33.3,3.6,9.8,2.9,7.1,0.7,2.7,3.9,5.6,1.8,4.9,6.7,2.1,0.7,0.3,2.8,2.3,11.8
1923,1922,Jaron Jones\jaron-jones-1,SR,2011-12,G,Eastern Kentucky,OVC,32,1085,33.9,5.8,11,5.1,9,0.8,2,4.6,5.9,1.7,2.7,4.4,1.8,1.4,0.3,1.9,2.7,17
776,775,Bradford Burgess\bradford-burgess-1,SR,2011-12,G,Virginia Commonwealth,CAA,36,1164,32.3,3.9,10.8,1.7,4.7,2.3,6.1,3.3,4.2,1.2,3.8,5,1.6,1.1,0.3,1.3,2.3,13.4
1910,1909,Casey Walker\casey-walker-1,SO,2011-12,G,Delaware State,MEAC,29,1086,37.4,4.7,11.4,2,4.3,2.6,7.1,1.3,1.9,1.1,2.8,3.8,0.8,0.9,0.5,1.1,2.6,13.3
1963,1962,Jordan Hulls\jordan-hulls-1,JR,2011-12,G,Indiana,Big Ten,36,1083,30.1,4,7.9,2,3.8,2,4.1,1.7,1.9,0.3,2.2,2.5,3.3,1.1,0.1,2.1,1.9,11.7
680,679,Kyle Downey\kyle-downey-1,SR,2011-12,G,Siena,MAAC,31,1173,37.8,5,12.1,4.1,9,0.9,3.1,2.4,2.8,1.2,3.7,4.9,3.1,1.3,0.2,3,2.7,13.3
535,534,Damier Pitts\damier-pitts-1,SR,2011-12,G,Marshall,CUSA,35,1191,34,5.1,12.4,3.1,6.3,2.1,6.1,2.3,3.3,0.5,1.9,2.4,4.3,1,0.1,3.2,2.5,14.7
555,554,Kendall Marshall\kendall-marshall-1,SO,2011-12,G,North Carolina,ACC,36,1189,33,2.9,6.3,2.1,4.1,0.8,2.2,1.5,2.2,0.2,2.4,2.6,9.8,1.2,0.2,2.8,1.6,8.1
2001,2000,Antwaine Wiggins\antwaine-wiggins-1,SR,2011-12,F,College of Charleston,Southern,31,1082,34.9,5.7,12.9,3.7,7.5,1.9,5.4,2.6,4.6,2.5,3.9,6.5,2.2,1.1,0.5,2.4,1.4,15.9
2000,1999,Edward Townsel\edward-townsel-1,SO,2011-12,G,Arkansas State,Sun Belt,34,1082,31.8,3.1,8.7,1.7,5.1,1.4,3.6,1.5,2.4,0.7,2.9,3.6,3,1.9,0.1,3.1,2.3,9
634,633,Wendell McKines\wendell-mckines-1,SR,2011-12,F,New Mexico State,WAC,35,1179,33.7,6.7,14.4,5.2,10.3,1.5,4.1,3.9,5.1,3.4,7.3,10.7,1.5,0.8,0.4,2,2.3,18.7
677,676,Zac Swansey\zac-swansey-1,SR,2011-12,G,Tennessee Tech,OVC,33,1174,35.6,3,7.5,1.7,3.9,1.3,3.5,0.5,1,0.4,2.1,2.5,5.8,2.2,0,3.5,1.5,7.9
1982,1981,Will Cherry\will-cherry-1,JR,2011-12,G,Montana,Big Sky,32,1082,33.8,5,11.3,3.4,7,1.6,4.3,4.1,5.3,0.6,3.3,3.9,3.3,2.6,0.3,2.8,2.5,15.8
647,646,John Jenkins\john-jenkins-1,JR,2011-12,G,Vanderbilt,SEC,35,1177,33.6,6.2,13.1,2.4,4.4,3.8,8.7,3.7,4.4,0.5,2.4,2.9,1.2,0.8,0.3,1.6,1.2,19.9
1978,1977,Kyle Barone\kyle-barone-1,JR,2011-12,C,Idaho,WAC,33,1082,32.8,4.8,8.8,4.8,8.7,0,0.1,3.3,5.1,2.1,5.9,8,1.5,0.5,1.5,2.6,2.7,12.9
657,656,Kim English\kim-english-1,SR,2011-12,G,Missouri,Big 12,35,1175,33.6,4.9,9.4,2.7,4.5,2.2,4.9,2.5,3.4,0.9,3.4,4.2,1.6,1.3,0.3,1.7,2.4,14.5
669,668,Angelo Johnson\angelo-johnson-1,SR,2011-12,G,Southern Mississippi,CUSA,34,1174,34.5,3.4,9.4,2.5,6.6,1,2.8,1.7,2.4,0.3,2.6,3,2.9,1,0.1,1.8,2.6,9.5
1970,1969,Adam Sollazzo\adam-sollazzo-1,SR,2011-12,G,East Tennessee State,A-Sun,31,1083,34.9,5,11.6,4.5,10.2,0.4,1.4,4.6,6.9,1.6,3.8,5.5,4.4,1.6,0.1,3.1,2.3,14.9
511,510,Brockeith Pane\brockeith-pane-1,SR,2011-12,G,Utah State,WAC,37,1194,32.3,4.4,10.9,3.6,8.4,0.8,2.6,2.9,3.8,0.4,2.6,3,4.3,0.7,0.2,2.9,2.4,12.6
1568,1567,Jud Dillard\jud-dillard-1,JR,2011-12,F,Tennessee Tech,OVC,33,1103,33.4,6,11.6,5.8,10.6,0.2,1,5.1,6.2,2.6,6,8.5,1.3,1,0.2,2.4,2,17.3
506,505,Rakim Sanders\rakim-sanders-1,SR,2011-12,F,Fairfield,MAAC,37,1195,32.3,6.4,12.7,5.2,8.9,1.2,3.8,2.7,4.3,2.8,5.4,8.2,2.5,1.4,0.4,3.3,2.6,16.6
2234,2233,Lazeric Jones\lazeric-jones-1,SR,2011-12,G,UCLA,Pac-12,32,1069,33.4,4.8,10.9,3.3,7.1,1.5,3.8,2.6,3.5,0.6,2.9,3.5,4.1,1.8,0.2,2.6,2.1,13.6
161,161,Bradley Beal\bradley-beal-1,FR,2011-12,G,Florida,SEC,37,1267,34.2,4.7,10.6,3,5.6,1.7,5,3.6,4.7,1.4,5.4,6.7,2.2,1.4,0.8,2.1,2.1,14.8
165,165,Dion Dixon\dion-dixon-1,SR,2011-12,G,Cincinnati,Big East,37,1266,34.2,4.3,11.6,3,6.7,1.3,4.9,3.1,4.5,1.8,1.6,3.4,2.1,1.6,0.5,1.8,1.2,13
167,167,Jeremy Lamb\jeremy-lamb-1,SO,2011-12,G,Connecticut,Big East,34,1266,37.2,6.4,13.4,4.3,7.1,2.1,6.2,2.9,3.6,0.9,3.9,4.9,1.7,1.2,0.6,2,1.7,17.7
171,171,Kevin Jones\kevin-jones-5,SR,2011-12,F,West Virginia,Big East,33,1265,38.3,7.9,15.5,6.8,11.6,1,3.9,3.1,4,4.3,6.6,10.9,1.2,0.7,1,1.3,1.2,19.9
172,172,Brad Loesing\brad-loesing-1,SR,2011-12,G,Wofford,Southern,33,1265,38.3,5.2,12.4,3.5,7.5,1.6,4.9,3,3.7,0.4,2.6,3,5.6,1.1,0.1,3.5,2.8,14.9
2226,2225,Tyler Zeller\tyler-zeller-1,SR,2011-12,F,North Carolina,ACC,38,1070,28.2,5.8,10.5,5.8,10.5,0,0,4.8,5.9,3.8,5.8,9.6,0.9,0.9,1.5,1.9,2.7,16.3
193,193,Zack Rosen\zack-rosen-1,SR,2011-12,G,Pennsylvania,Ivy,33,1259,38.2,6.4,14.1,4.1,8.4,2.3,5.7,3.2,3.6,0.3,2.9,3.2,5.2,1.4,0.1,2.7,2.3,18.2
2217,2216,Travis McKie\travis-mckie-1,SO,2011-12,F,Wake Forest,ACC,31,1070,34.5,5.6,11.8,4.6,9,1.1,2.8,3.7,5,2.3,4.7,7,1.1,0.8,0.6,2.5,2.3,16.1
213,212,Kevin Giltner\kevin-giltner-1,SR,2011-12,G,Wofford,Southern,33,1253,38,5,12.6,2.4,5.3,2.6,7.3,2.2,2.7,0.6,3.6,4.2,1.8,0.9,0.2,2,2.2,14.8
2208,2207,Antoine Young\antoine-young-1,SR,2011-12,G,Creighton,MVC,35,1071,30.6,4,9.3,3.7,8.4,0.3,0.9,3.8,5.2,0.4,1.6,2,4.5,0.8,0,1.9,1.3,12.1
2207,2206,Andre Young\andre-young-1,SR,2011-12,G,Clemson,ACC,31,1071,34.5,4.4,10.6,2.3,4.5,2.1,6.1,2.3,2.8,0.5,2.2,2.7,3.1,1.7,0,1.3,1.3,13.3
227,226,Doron Lamb\doron-lamb-1,SO,2011-12,G,Kentucky,SEC,40,1249,31.2,4.4,9.2,2.5,5.2,1.9,4.1,3.1,3.7,0.4,2.3,2.7,1.5,0.5,0.1,1.1,1.8,13.7
234,233,Tu Holloway\terrell-holloway-1,SR,2011-12,G,Xavier,A-10,34,1247,36.7,4.9,11.4,3.6,7.6,1.3,3.8,6.4,7.4,0.4,3.2,3.6,4.9,1.5,0.1,3,2.1,17.5
2192,2191,Royce White\royce-white-1,SO,2011-12,F,Iowa State,Big 12,34,1072,31.5,5.1,9.6,5,9.3,0.1,0.4,3,6,2.5,6.8,9.3,5,1.2,0.9,3.8,2.6,13.4
240,239,Jared Cunningham\jared-cunningham-2,JR,2011-12,G,Oregon State,Pac-12,36,1245,34.6,5.5,12.2,4.1,8.1,1.4,4.1,5.5,7.5,1,2.8,3.8,2.8,2.5,0.4,2.8,2.4,17.9
242,241,Michael Kidd-Gilchrist\michael-kidd-gilchrist-1,FR,2011-12,F,Kentucky,SEC,40,1245,31.1,4,8.2,3.7,6.9,0.3,1.3,3.6,4.8,2.6,4.9,7.4,1.9,1,0.9,2.2,2.4,11.9
2186,2185,Robby Ptacek\robby-ptacek-1,SR,2011-12,G,Central Connecticut State,NEC,29,1072,37,5.8,14.1,4.4,9.7,1.4,4.3,4.3,4.7,0.8,3.1,3.9,2.2,0.9,0.1,2.8,2.2,17.3
2238,2237,Kwamain Mitchell\kwamain-mitchell-1,JR,2011-12,G,Saint Louis,A-10,34,1069,31.4,4.4,9.9,2.5,4.7,1.9,5.2,1.7,2.5,0.5,2.1,2.6,3.7,1.3,0,1.8,2.4,12.4
251,250,Thomas Robinson\thomas-robinson-2,JR,2011-12,F,Kansas,Big 12,39,1242,31.8,6.7,13.3,6.5,12.9,0.2,0.4,4.2,6.1,2.9,9,11.9,1.8,1.1,0.9,2.7,2.7,17.7
151,151,Ashton Gibbs\ashton-gibbs-1,SR,2011-12,G,Pittsburgh,Big East,37,1270,34.3,4.9,12.9,2.8,6.6,2.2,6.4,2.5,3,0.5,1.8,2.3,2.1,0.5,0.1,1.6,1,14.6
2300,2299,Francisco Cruz\francisco-cruz-1,SR,2011-12,G,Wyoming,MWC,33,1066,32.3,4.4,9.8,3.1,6.2,1.3,3.6,1.8,2.4,0.7,2.2,2.9,2.2,0.8,0.1,1.9,1.9,12
19,20,Kyle Kuric\kyle-kuric-1,SR,2011-12,G,Louisville,Big East,38,1369,36,4.3,10.3,2.3,4.2,2,6.1,1.9,2.4,1.2,3,4.2,1.2,1.2,0.5,1,2.1,12.6
2290,2289,Tony Taylor\tony-taylor-1,SR,2011-12,G,George Washington,A-10,31,1067,34.4,4.4,11,3.4,8,1,3,3.3,4.2,0.8,1.8,2.5,4.3,1.4,0.1,2.8,2.5,13.1
2283,2282,Orlando Johnson\orlando-johnson-1,SR,2011-12,G,UC-Santa Barbara,Big West,31,1067,34.4,6.7,14.8,4.4,9.5,2.3,5.3,4.1,5.9,1.7,4.1,5.8,2.9,1.1,0.7,2.5,1.8,19.7
47,48,William Buford\william-buford-1,SR,2011-12,G,Ohio State,Big Ten,39,1320,33.8,5.3,12.5,3.7,8.1,1.6,4.4,2.4,2.9,0.9,4.1,5,2.7,0.8,0.2,2.2,1.8,14.5
63,64,Gorgui Dieng\gorgui-dieng-1,SO,2011-12,C,Louisville,Big East,40,1312,32.8,3.6,6.9,3.6,6.9,0,0.1,1.8,2.7,3.5,5.6,9.1,1.1,1.2,3.2,2,3.3,9.1
77,78,Tyshawn Taylor\tyshawn-taylor-1,SR,2011-12,G,Kansas,Big 12,39,1303,33.4,5.8,12.2,4.3,8.3,1.5,3.9,3.5,5.1,0.2,2.1,2.3,4.8,1.3,0.2,3.5,2,16.6
78,79,Marquis Teague\marquis-teague-1,FR,2011-12,G,Kentucky,SEC,40,1303,32.6,3.6,8.8,3,6.8,0.7,2,2.1,3,0.4,2.1,2.5,4.8,0.9,0.3,2.7,2.3,10
2267,2266,Nate Tomlinson\nate-tomlinson-1,SR,2011-12,G,Colorado,Pac-12,36,1068,29.7,1.7,4.3,0.7,1.4,1,2.9,1.2,1.7,0.1,1.9,2,3,0.9,0,1.6,1.8,5.5
