,Rk,Player,Class,Season,Pos,School,Conf,G,MP,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1342,1341,Jeff Dowtin\jeff-dowtin-1,SO,2017-18,G,Rhode Island,A-10,34,1117,32.9,3.6,8,2.9,6.1,0.7,1.8,1.8,2.5,0.7,2.4,3.1,5.6,0.9,0.5,1.3,1.6,9.6
1343,1342,Shannon Evans\shannon-evans-1,SR,2017-18,G,Arizona State,Pac-12,32,1117,34.9,4.9,12.9,1.9,4.9,3,8,3.8,4.5,0.3,2.9,3.3,3.5,1.4,0.3,1.7,1.9,16.5
1990,1989,Daryl Macon\daryl-macon-1,SR,2017-18,G,Arkansas,SEC,35,1082,30.9,5,11.1,2.5,5.3,2.4,5.8,4.4,5,0.4,2.5,2.9,3.9,1,0.1,1.8,1.8,16.8
1989,1988,Jalen Lindsey\jalen-lindsey-1,SR,2017-18,G,Providence,Big East,33,1082,32.8,2.8,6.8,0.6,1.2,2.2,5.6,1,1.4,1.1,2.5,3.6,0.8,0.9,0.6,0.7,2,8.8
2220,2219,Kerwin Roach Jr.\kerwin-roachjr-1,JR,2017-18,G,Texas,Big 12,32,1070,33.4,4.4,10,3,6.2,1.4,3.8,2.2,3.4,0.8,2.9,3.7,3.6,1.5,0.3,2.5,2.5,12.3
1352,1351,Cameron Reynolds\cameron-reynolds-1,SR,2017-18,G,Tulane,AAC,31,1117,36,5.5,13.5,3.5,7.9,2,5.6,2.1,2.9,1.2,5.2,6.3,2.2,0.8,0.6,1.5,2.5,15.1
191,191,Jordan Howard\jordan-howard-2,SR,2017-18,G,Central Arkansas,Southland,35,1259,36,8,17.5,4.8,9.3,3.2,8.2,5.9,6.7,0.3,3.3,3.6,2.7,1,0,2.3,1.2,25.1
1353,1352,Nike Sibande\nike-sibande-1,FR,2017-18,G,Miami (OH),MAC,34,1117,32.9,5,12.1,2.8,5.7,2.3,6.5,2.8,3.9,0.8,3.5,4.3,1.2,1.1,0.1,2.1,1.9,15.1
189,189,Jerome Robinson\jerome-robinson-2,JR,2017-18,G,Boston College,ACC,35,1260,36,7.1,14.7,4.8,9,2.3,5.7,4.2,5,0.5,3.1,3.6,3.3,0.9,0.1,2.7,2.5,20.7
218,217,RJ Cole\rj-cole-1,FR,2017-18,G,Howard,MEAC,33,1252,37.9,7.3,18.5,4,9.3,3.3,9.2,5.8,7.5,0.8,3.1,3.9,6.1,1.7,0,3.8,2.6,23.7
1677,1676,Matisse Thybulle\matisse-thybulle-1,JR,2017-18,G,Washington,Pac-12,34,1098,32.3,4.1,9.3,2.4,4.6,1.7,4.7,1.2,1.6,0.9,2.1,2.9,2.6,3,1.4,2.2,2.4,11.2
965,964,Kenny Carpenter\kenny-carpenter-1,SR,2017-18,G,Cleveland State,Horizon,34,1146,33.7,5.2,10.9,3.5,6.2,1.7,4.7,1.2,1.7,0.7,4.4,5.1,2.4,1.1,0.4,1.2,2.3,13.3
223,222,Jordan Chatman\jordan-chatman-1,JR,2017-18,G,Boston College,ACC,34,1250,36.8,4.1,9.9,1.6,3.4,2.6,6.5,2.1,2.3,0.5,2.5,2.9,1.6,0.6,0,0.8,1.7,12.9
594,593,Olin Carter III\olin-carteriii-1,JR,2017-18,G,San Diego,WCC,34,1184,34.8,4.2,10.7,1.6,3.5,2.6,7.2,1.4,1.8,0.3,2.8,3,1.6,1,0.6,1.1,2.5,12.4
597,596,Anthony Cowan\anthony-cowan-1,SO,2017-18,G,Maryland,Big Ten,32,1184,37,4.5,10.7,2.8,6.1,1.7,4.6,5.1,6,0.2,4.2,4.4,5.1,1.5,0.3,2.8,2,15.8
1293,1292,Kevin Holland\kevin-holland-1,JR,2017-18,G,Southern Mississippi,CUSA,34,1121,33,2.4,5.6,0.6,1.5,1.7,4.2,0.3,0.4,0.3,1.6,1.9,1.4,0.8,0.1,0.5,2.1,6.8
1831,1830,Tremont Waters\tremont-waters-1,FR,2017-18,G,Louisiana State,SEC,33,1089,33,5.1,12.2,2.9,6,2.2,6.2,3.5,4.4,0.3,3.1,3.4,6,2,0.1,2.9,2.2,15.9
244,243,Aaron Holiday\aaron-holiday-1,JR,2017-18,G,UCLA,Pac-12,33,1244,37.7,6.4,13.9,3.8,7.7,2.7,6.2,4.8,5.8,0.5,3.2,3.7,5.8,1.3,0.2,3.8,2.6,20.3
948,947,Kenny Williams\kenny-williams-3,JR,2017-18,G,North Carolina,ACC,37,1149,31.1,4.2,8.7,2.3,3.8,1.9,4.8,1,1.5,1.1,2.6,3.7,2.4,1,0.5,1.1,1.9,11.4
239,238,Peyton Aldridge\peyton-aldridge-1,SR,2017-18,F,Davidson,A-10,33,1245,37.7,7.6,15.9,5.3,9.8,2.3,6.1,3.6,4.3,1.4,6.2,7.6,2.5,0.4,0.6,1.2,1.5,21.2
2193,2192,Jonah Antonio\jonah-antonio-1,FR,2017-18,G,Mount St. Mary's,NEC,32,1071,33.5,3.8,10.4,1,2.1,2.8,8.3,0.9,1.1,0.4,3.3,3.8,0.7,1.3,0.6,0.6,1.3,11.3
