,year,round,pick,player,position,school,draft_name,identifier,Player,Class,Season,Pos,School,Conf,G,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,,,,,,
228,2015,1,17,"Vaughn, Rashad",SG,UNLV,Rashad Vaughn,Rashad Vaughn,Rashad Vaughn,FR,,,,,23,32.3,6.3,14.3,3.9,8.1,2.3,6.1,3,4.3,0.6,4.2,4.8,1.6,0.8,0.3,2.2,2.3,17.8,,,,,,,
230,2015,2,38,"Hilliard, Darrun",SG,Villanova,Darrun Hilliard,Darrun Hilliard,Darrun Hilliard,SR,,,,,35,28.8,4.9,11,2.6,5.2,2.3,5.8,2.3,2.9,0.5,2.7,3.1,2.1,1.8,0.3,1.2,2.2,14.3,,,,,,,
231,2015,1,21,"Anderson, Justin",SF,Virginia,Justin Anderson,Justin Anderson,Justin Anderson,JR,,,,,26,27.8,4,8.5,2.2,4.5,1.8,4,2.5,3.2,0.7,3.4,4,1.7,0.7,0.5,1.2,1.2,12.2,,,,,,,
235,2015,1,27,"Nance Jr., Larry",PF,Wyoming,Larry Nance Jr.,Larry Nance Jr.,Larry Nance Jr.,SR,,,,,31,34.9,6,11.6,5.5,10.3,0.5,1.4,3.7,4.7,1.4,5.8,7.2,2.5,1.2,1.2,2.3,2.2,16.1,,,,,,,
154,2014,2,50,"Brown, Alec",C,Green Bay,Alec Brown,Alec Brown,Alec Brown,SR,2013-14,F,Green Bay,Horizon,30,30.3,5.5,11.6,0.476,4.1,8.2,0.498,1.4,3.3,0.42,2.9,4,0.727,2.1,3.6,5.7,1,0.5,3.1,2.2,2.2,15.3,,,
155,2014,1,9,"Vonleh, Noah",PF,Indiana,Noah Vonleh,Noah Vonleh,Noah Vonleh,FR,2013-14,F,Indiana,Big Ten,30,26.5,3.8,7.2,0.523,3.2,6.1,0.53,0.5,1.1,0.485,3.2,4.5,0.716,2.4,6.6,9,0.6,0.9,1.4,2.1,2.7,11.3,,,
156,2014,2,56,"Marble, Devyn",SG/SF,Iowa,Devyn Marble,Devyn Marble,Devyn Marble,SR,2013-14,G,Iowa,Big Ten,33,30.2,5.5,13.2,0.42,4,8.7,0.456,1.6,4.5,0.349,4.3,6,0.714,0.8,2.4,3.2,3.6,1.8,0.2,1.7,1.9,17,,,
158,2014,1,3,"Embiid, Joel",C,Kansas,Joel Embiid,Joel Embiid,Joel Embiid,FR,2013-14,C,Kansas,Big 12,28,23.1,3.8,6.1,0.626,3.8,5.9,0.639,0,0.2,0.2,3.5,5.1,0.685,2.3,5.8,8.1,1.4,0.9,2.6,2.4,3.4,11.2,,,
161,2014,2,36,"O'Bryant III, Johnny",PF,Louisiana,Johnny O'Bryant III,Johnny O'Bryant III,Johnny O'Bryant III,JR,2013-14,F,LSE,SEC,34,30,5.9,12,0.494,5.9,11.9,0.495,0,0.1,0.333,3.5,5.5,0.634,3,4.7,7.7,1.6,0.5,0.9,3.2,3.2,15.4,,,
165,2014,1,21,"McGary, Mitch",PF,Michigan,Mitch McGary,Mitch McGary,Mitch McGary,SO,2013-14,F,Michigan,Big Ten,8,24.8,3.8,6.9,0.545,3.8,6.6,0.566,0,0.3,0,2,3,0.667,2.9,5.4,8.3,1.5,1.9,0.8,1.6,3.1,9.5,,,
166,2014,2,40,"Robinson III, Glenn",SF,Michigan,Glenn Robinson III,Glenn Robinson III,Glenn Robinson III,SO,2013-14,F,Michigan,Big Ten,37,32.3,4.9,10.1,0.488,4,7.2,0.562,0.9,2.9,0.306,2.4,3.1,0.757,1.5,3,4.4,1.2,0.9,0.3,1.2,1.5,13.1,,,
167,2014,1,15,"Payne, Adreian",PF,Michigan State,Adreian Payne,Adreian Payne,Adreian Payne,SR,2013-14,C,Michigan State,Big Ten,21,28.1,5.7,11.4,0.503,4.3,8.1,0.536,1.4,3.4,0.423,3.5,4.5,0.79,1.5,5.7,7.3,1.3,0.5,0.9,2,2.6,16.4,,,
179,2014,2,39,"Grant, Jerami",SF,Syracuse,Jerami Grant,Jerami Grant,Jerami Grant,SO,2013-14,F,Syracuse,ACC,32,31.4,4.2,8.4,0.496,4.2,8.2,0.506,0,0.2,0,3.8,5.6,0.674,2.4,4.3,6.8,1.4,0.8,0.6,1.2,2.3,12.1,,,
182,2014,1,13,"LaVine, Zach",SG,UCLA,Zach LaVine,Zach LaVine,Zach LaVine,FR,2013-14,G,UCLA,Pac-12,37,24.4,3.4,7.8,0.441,2.1,4.3,0.494,1.3,3.5,0.375,1.3,1.8,0.691,0.5,2.1,2.5,1.8,0.9,0.2,1.1,2,9.4,,,
188,2014,2,34,"Early, Cleanthony",SF,Wichita State,Cleanthony Early,Cleanthony Early,Cleanthony Early,SO,2013-14,F,Wichita St. ,MVC,36,27.4,5.2,10.7,0.484,3.4,5.8,0.579,1.8,4.9,0.373,4.2,5,0.844,1.3,4.6,5.9,0.8,0.8,0.8,1.9,2.3,16.4,,,
99,2013,2,40,"Jerrett, Grant",PF,Arizona,Grant Jerrett,Grant Jerrett,Grant Jerrett,FR,2012-13,F,Arizona,Pac-12,34,17.8,1.9,4.5,0.409,0.9,2.2,0.413,0.9,2.3,0.405,0.5,0.6,0.818,1.1,2.5,3.6,0.5,0.5,1,0.6,1.3,5.2,,,
104,2013,1,26,"Roberson, Andr棠逦棠錩棠宕题濠",SG/SF,Colorado,Andre Roberson,Andre Roberson,Andre Roberson,JR,2012-13,F,Colorado,Pac-12,31,33.4,4.3,8.9,0.48,3.6,7,0.521,0.6,1.9,0.328,1.7,3.2,0.551,3,8.2,11.2,1.4,2.2,1.3,2.4,2.5,10.9,,,
105,2013,2,53,"Iverson, Colton",C,Colorado State,Colton Iverson,Colton Iverson,Colton Iverson,SR,2012-13,F,Colorado St.,MWC,35,29.5,5.2,8.8,0.596,5.2,8.8,0.596,0,0,,3.7,6.3,0.59,3.3,6.4,9.8,1.3,0.6,0.7,2,2.6,14.2,,,
106,2013,2,36,"McCallum Jr., Ray",PG,Detroit,Ray McCallum Jr.,Ray McCallum Jr.,Ray McCallum Jr.,JR,2012-13,G,Detroit,Horizon,33,36.6,6.5,13.2,0.491,5.2,9.3,0.562,1.3,3.9,0.323,4.5,6.2,0.717,1.3,3.8,5.1,4.5,1.9,0.6,2.1,2,18.7,,,
108,2013,2,48,"Kelly, Ryan",PF,Duke,Ryan Kelly,Ryan Kelly,Ryan Kelly,SR,2012-13,F,Duke,ACC,23,28.9,4.2,9.2,0.453,2.7,5.6,0.473,1.5,3.6,0.422,3,3.7,0.812,1.6,3.7,5.3,1.7,0.7,1.6,1,2.4,12.9,,,
109,2013,2,49,"Murphy, Erik",PF,Florida,Erik Murphy,Erik Murphy,Erik Murphy,SR,2012-13,F,Florida,SEC,36,26.4,4.6,8.8,0.516,2.6,4.4,0.579,2,4.4,0.453,1.1,1.4,0.784,1.6,3.9,5.5,1.4,0.6,0.7,1.4,2.8,12.2,,,
112,2013,1,13,"Olynyk, Kelly",C,Gonzaga,Kelly Olynyk,Kelly Olynyk,Kelly Olynyk,JR,2012-13,F,Gonzaga,WCC,32,26.4,6.7,10.7,0.629,6.4,9.8,0.66,0.3,0.9,0.3,4.1,5.3,0.776,2.4,4.9,7.3,1.7,0.7,1.1,2.4,2.3,17.8,,,
113,2013,1,2,"Oladipo, Victor",SG/PG,Indiana,Victor Oladipo,Victor Oladipo,Victor Oladipo,JR,2012-13,G,Indiana,Big Ten,36,28.4,5.1,8.4,0.599,4.2,6.6,0.644,0.8,1.9,0.441,2.7,3.6,0.746,2.6,3.7,6.3,2.1,2.2,0.8,2.3,2.5,13.6,,,
114,2013,1,4,"Zeller, Cody",C/PF,Indiana,Cody Zeller,Cody Zeller,Cody Zeller,SO,2012-13,F,Indiana,Big Ten,36,29.5,5.5,9.8,0.564,5.5,9.8,0.567,0,0.1,0,5.4,7.2,0.757,2.8,5.2,8,1.3,1,1.3,2.3,2.2,16.5,,,
117,2013,1,6,"Noel, Nerlens",C,Kentucky,Nerlens Noel,Nerlens Noel,Nerlens Noel,FR,2012-13,C,Kentucky,SEC,24,31.9,4.1,6.9,0.59,4.1,6.9,0.59,0,0,,2.3,4.3,0.529,2.7,6.8,9.5,1.6,2.1,4.4,1.9,2.6,10.5,,,
118,2013,1,29,"Goodwin, Archie",SG,Kentucky,Archie Goodwin,Archie Goodwin,Archie Goodwin,FR,2012-13,G,Kentucky,SEC,33,31.8,4.8,10.8,0.44,4.2,8.9,0.478,0.5,1.9,0.266,4.1,6.4,0.637,1.5,3.2,4.6,2.7,1.1,0.5,3.1,2.9,14.1,,,
123,2013,1,5,"Len, Alex",C,Maryland,Alex Len,Alex Len,Alex Len,SO,2012-13,C,Maryland,ACC,38,26.4,4.6,8.5,0.534,4.5,8.3,0.544,0,0.2,0.125,2.8,4,0.686,2.9,5,7.8,1,0.2,2.1,1.6,2.7,11.9,,,
126,2013,1,24,"Hardaway Jr., Tim",SG,Michigan,Tim Hardaway Jr.,Tim Hardaway Jr.,Tim Hardaway Jr.,JR,2012-13,G,Michigan,Big Ten,38,34.8,5.3,12.1,0.437,3.4,7,0.483,1.9,5.1,0.374,2,2.9,0.694,0.2,4.4,4.7,2.4,0.7,0.4,1.9,1.9,14.5,,,
134,2013,2,51,"Osby, Romero",PF,Oklahoma,Romero Osby,Romero Osby,Romero Osby,SR,2012-13,F,Oklahoma,Big 12,32,28.5,5.4,10.3,0.526,5.2,9.8,0.525,0.3,0.5,0.529,4.8,6.1,0.794,2.1,5,7,1.3,0.6,0.8,1.3,2.4,16,,,
135,2013,2,54,"Kazemi, Arsalan",PF,Oregon,Arsalan Kazemi,Arsalan Kazemi,Arsalan Kazemi,SR,2012-13,F,Oregon,Pac-12,35,29,3.2,5.4,0.595,3.2,5.4,0.598,0,0,0,2.9,4.3,0.675,2.8,7.2,10,1.4,2,0.7,1.5,1.9,9.4,,,
136,2013,1,12,"Adams, Steven",C,Pittsburgh,Steven Adams,Steven Adams,Steven Adams,FR,2012-13,C,Pitt,Big East,32,23.4,3.1,5.5,0.571,3.1,5.5,0.571,0,0,,1,2.2,0.443,2.8,3.5,6.3,0.6,0.7,2,1.1,1.6,7.2,,,
138,2013,2,41,"Franklin, Jamaal",SG,San Diego State,Jamaal Franklin,Jamaal Franklin,Jamaal Franklin,JR,2012-13,G,San Diego State,MWC,32,33.1,5.2,12.5,0.411,3.9,7.9,0.492,1.3,4.6,0.272,5.3,6.8,0.781,1.8,7.8,9.5,3.3,1.6,0.8,3.4,2.6,16.9,,,
141,2013,1,14,"Muhammad, Shabazz",SG/SF,UCLA,Shabazz Muhammad,Shabazz Muhammad,Shabazz Muhammad,FR,2012-13,G,UCLA,Pac-12,32,30.8,6.3,14.3,0.443,5.1,10.9,0.463,1.3,3.3,0.377,4,5.6,0.711,2.7,2.5,5.2,0.8,0.7,0.1,1.6,1.7,17.9,,,
142,2013,1,1,"Bennett, Anthony",PF/SF,UNLV,Anthony Bennett,Anthony Bennett,Anthony Bennett,FR,2012-13,F,UNLV,MWC,35,27.1,5.8,10.8,0.533,4.7,8.1,0.587,1,2.7,0.375,3.5,5.1,0.701,2.5,5.7,8.1,1,0.7,1.2,1.9,2.3,16.1,,,
47,2012,1,28,"Jones III, Perry",SF,Baylor,Perry Jones III,Perry Jones III,Perry Jones III,SO,,,,,33,30.7,5.5,11,5.2,10,0.3,1,2.2,3.1,2.7,4.9,7.6,1.3,0.8,0.6,1.7,2.3,13.5,,,,,,,
49,2012,2,38,"Miller, Quincy",SF,Baylor,Quincy Miller,Quincy Miller,Quincy Miller,FR,,,,,37,24.4,3.7,8.4,3.1,6.5,0.6,1.9,2.5,3.1,1.5,3.5,4.9,1.4,0.7,0.6,1.8,1.9,10.6,,,,,,,
50,2012,1,9,"Drummond, Andre",C,Connecticut,Andre Drummond,Andre Drummond,Andre Drummond,FR,,,,,34,28.4,4.6,8.6,4.6,8.5,0,0.1,0.8,2.6,3.4,4.2,7.6,0.4,0.8,2.7,1.5,2.2,10,,,,,,,
53,2012,1,26,"Plumlee, Miles",C,Duke,Miles Plumlee,Miles Plumlee,Miles Plumlee,SR,,,,,34,20.5,2.6,4.3,2.6,4.3,0,0,1.4,2.2,2.9,4.2,7.1,0.5,0.5,0.9,1.2,2.3,6.6,,,,,,,
55,2012,2,33,"James, Bernard",C,Florida State,Bernard James,Bernard James,Bernard James,SO,,,,,35,28,4.5,7.4,4.5,7.4,0,0,1.8,3.3,3.1,5,8.1,0.5,0.7,2.3,2.1,1.9,10.8,,,,,,,
56,2012,2,60,"Sacre, Robert",C,Gonzaga,Robert Sacre,Robert Sacre,Robert Sacre,SR,,,,,33,26.3,3.5,6.9,3.5,6.9,0,0.1,4.5,6,2,4.3,6.3,0.7,0.4,1.4,1.8,2.2,11.6,,,,,,,
57,2012,1,11,"Leonard, Meyers",C,Illinois,Meyers Leonard,Meyers Leonard,Meyers Leonard,SO,,,,,32,31.8,5.3,9.1,5.3,8.8,0,0.3,2.9,4,2.3,5.9,8.2,1.3,0.5,1.9,2.1,2.9,13.6,,,,,,,
67,2012,2,45,"Hamilton, Justin",C,LSU,Justin Hamilton,Justin Hamilton,Justin Hamilton,JR,,,,,33,30,4.8,9.7,4.7,9.3,0.1,0.4,3.2,4.2,3.3,3.9,7.2,0.9,0.8,1.3,1.7,2.5,12.9,,,,,,,
78,2012,1,14,"Henson, John",PF,North Carolina,John Henson,John Henson,John Henson,JR,,,,,35,29.1,5.9,11.7,5.9,11.7,0,0,2,3.9,2.5,7.4,9.9,1.3,0.6,2.9,1.3,1.6,13.7,,,,,,,
83,2012,1,19,"Nicholson, Andrew",PF,St. Bonaventure,Andrew Nicholson,Andrew Nicholson,Andrew Nicholson,SR,,,,,32,30.1,6.9,12,6.2,10.4,0.7,1.7,4,5.2,2.6,5.8,8.4,1,0.7,2,2.5,2.8,18.5,,,,,,,
85,2012,1,4,"Waiters, Dion",SG,Syracuse,Dion Waiters,Dion Waiters,Dion Waiters,SO,,,,,37,24.1,4.6,9.6,3.5,6.6,1.1,3.1,2.3,3.2,0.5,1.8,2.3,2.5,1.8,0.3,1.3,1.9,12.6,,,,,,,
86,2012,1,22,"Melo, Fab",C,Syracuse,Fab Melo,Fab Melo,Fab Melo,SO,,,,,30,25.4,3.3,5.8,3.3,5.8,0,0,1.3,2,2.7,3.2,5.8,0.7,0.5,2.9,1.4,2.8,7.8,,,,,,,
89,2012,2,39,"Middleton, Khris",SF,Texas A&M,Khris Middleton,Khris Middleton,Khris Middleton,JR,,,,,20,28.8,5.1,12.3,4.1,8.5,1,3.9,2,2.6,1.3,3.7,5,2.3,1,0.3,2.2,1.9,13.2,,,,,,,
92,2012,1,30,"Ezeli, Festus",C,Vanderbilt,Festus Ezeli,Festus Ezeli,Festus Ezeli,SR,,,,,26,23.2,3.4,6.3,3.4,6.3,0,0,3.2,5.3,2.4,3.5,5.9,0.3,0.4,2,2.2,3.2,10.1,,,,,,,
96,2012,1,25,"Wroten, Tony",PG,Washington,Tony Wroten,Tony Wroten,Tony Wroten,FR,,,,,35,30.3,5.7,12.8,5.4,11.2,0.3,1.6,4.4,7.5,2.3,2.7,5,3.7,1.9,0.4,3.8,2.7,16,,,,,,,
8,2011,1,1,"Irving, Kyrie",PG,Duke,Kyrie Irving,Kyrie Irving,Kyrie Irving,FR,,,,,11,27.5,5,9.5,3.4,5.9,1.6,3.5,5.8,6.5,0.5,2.8,3.4,4.3,1.5,0.5,2.5,2.1,17.5,,,,,,,
12,2011,2,52,"Macklin, Vernon",PF,Florida,Vernon Macklin,Vernon Macklin,Vernon Macklin,SR,,,,,37,24.5,5.2,8.7,5.2,8.7,0,0,1.2,2.8,2.2,3.2,5.4,0.8,0.4,0.7,1.7,2.5,11.6,,,,,,,
13,2011,1,18,"Singleton, Chris",SF,Florida State,Chris Singleton,Chris Singleton,Chris Singleton,JR,,,,,28,29.1,4.4,10.2,3.2,6.8,1.3,3.4,3,4.5,2.1,4.8,6.8,1.2,2,1.5,2.2,3.2,13.1,,,,,,,
14,2011,2,37,"Thompkins, Trey",PF,Georgia,Trey Thompkins,Trey Thompkins,Trey Thompkins,JR,,,,,30,31.2,6.5,13.4,5.7,11,0.8,2.5,2.7,4,1.9,5.8,7.6,1.4,1.1,1.7,2.5,2.2,16.4,,,,,,,
15,2011,2,47,"Leslie, Travis",SG,Georgia,Travis Leslie,Travis Leslie,Travis Leslie,JR,,,,,33,32.2,5.4,10.9,5,9.6,0.4,1.3,3.3,4.1,3.2,4,7.2,2.9,1.2,0.6,2.2,1.9,14.4,,,,,,,
16,2011,1,17,"Shumpert, Iman",SG,Georgia Tech,Iman Shumpert,Iman Shumpert,Iman Shumpert,JR,,,,,31,32,5.7,14.1,4.4,9.2,1.4,4.9,4.5,5.6,1.7,4.2,5.9,3.5,2.7,0.2,2.3,2.8,17.3,,,,,,,
18,2011,1,13,"Morris, Markieff",PF,Kansas,Markieff Morris,Markieff Morris,Markieff Morris,JR,,,,,38,24.4,5.1,8.7,4.5,7.2,0.7,1.6,2.7,4,2.7,5.6,8.3,1.4,0.8,1.1,2.1,2.8,13.6,,,,,,,
20,2011,2,49,"Selby, Josh",PG,Kansas,Josh Selby,Josh Selby,Josh Selby,FR,,,,,26,20.4,2.8,7.4,1.5,3.8,1.3,3.6,1.1,1.4,0.4,1.8,2.2,2.2,0.8,0,2,1.7,7.9,,,,,,,
33,2011,2,55,"Moore, Etwaun",SG,Purdue,Etwaun Moore,Etwaun Moore,Etwaun Moore,SR,,,,,34,33.9,6.5,14.5,4.4,9.4,2.1,5.1,2.9,4.1,1.5,3.6,5.1,3.2,1.2,0.5,1.8,2.1,18,,,,,,,
37,2011,1,19,"Harris, Tobias",SF,Tennessee,Tobias Harris,Tobias Harris,Tobias Harris,FR,,,,,34,29.2,5.4,11.8,4.8,9.6,0.7,2.2,3.8,5,2,5.3,7.3,1.3,0.7,0.9,1.8,2.1,15.3,,,,,,,
43,2011,1,16,"Vu棠宕棠遢棠宕题鍗evi棠宕棠遢棠逦棠錩, Nikola",C,USC,Nikola Vucevic,Nikola Vucevic,Nikola Vucevic,JR,,,,,34,34.9,6.3,12.5,5.5,10.1,0.9,2.4,3.6,4.8,2.9,7.4,10.3,1.6,0.5,1.4,1.7,2.8,17.1,,,,,,,
